('hil-2', 'mks-2')
('C08F1.10', 'T10B5.4')
('his-24', 'arl-3')
('knl-2', 'sbt-1')
('hil-3', 'mksr-1')
('asp-4', 'C35E7.11')
('htz-1', 'pghm-1')
('Y75B8A.18', 'E02A10.3')
('E01G4.5', 'F42G8.19')
('cav-1', 'dyf-6')
('hmg-1.2', 'egl-21')
('W04A8.4', 'ZC13.2')
('mix-1', 'T05G5.5')
('hrp-1', 'Y55D5A.1')
('sto-1', 'ptb-1')
('hmg-1.1', 'Y44A6D.2')
('C24H12.1', 'F01E11.17')
('Y45G5AM.7', 'C33A12.4')
('F48E3.6', 'rgs-3')
('pdi-2', 'cmd-1')
('fbxb-45', 'dylt-2')
('R09B3.3', 'bbs-8')
('C40A11.6', 'casy-1')
('cdk-1', 'ifta-2')
('act-4', 'mksr-2')
('T09B4.5', 'mks-5')
('skr-21', 'his-35')
('T16A1.10', 'unc-43')
('F28D1.2', 'T14B1.1')
('rsa-2', 'pnc-1')
('fbxb-66', 'cla-1')
('fbxb-88', 'aqp-12')
('pab-2', 'dyf-19')
('T28B8.1', 'bbs-5')
('inx-3', 'pgal-1')
('egl-46', 'T03G11.3')
('swsn-9', 'F21C10.3')
('ZK930.6', 'odr-4')
('ins-2', 'arl-13')
('div-1', 'dyf-18')
('lbp-1', 'F07C3.2')
('fbxb-70', 'K02F2.5')
('fbxb-37', 'C50B8.4')
('C08F1.11', 'F39B2.8')
('Y37E3.30', 'eat-6')
('lipl-7', 'unc-24')
('T05H4.11', 'F43G6.8')
('duxl-1', 'par-5')
('cyb-1', 'tppp-1')
('cnt-2', 'pdl-1')
('hlh-3', 'lgc-20')
('ugt-50', 'F53G12.4')
('C40A11.4', 'T06G6.3')
('eef-2', 'flp-27')
('clec-266', 'ric-3')
('bmk-1', 'daf-21')
('Y71F9AL.6', 'tax-6')
('smu-2', 'ZK813.5')
('Y71F9AL.7', 'ftt-2')
('mis-12', 'cab-1')
('bath-38', 'abts-1')
('gcna-1', 'M153.4')
('cpf-1', 'T27C4.1')
('sgo-1', 'inpp-1')
('sas-5', 'del-3')
('mab-20', 'C06E2.1')
('kbp-2', 'ift-74')
('F46H5.3', 'F56F10.2')
('ham-1', 'F18E9.1')
('ZK643.2', 'C46C11.3')
('ify-1', 'tmem-231')
('K02E10.1', 'cysl-1')
('swsn-4', 'K07C11.10')
('cyb-3', 'pat-10')
('sec-61', 'C24A3.2')
('Y94H6A.3', 'F47G4.5')
('F53B3.5', 'H10D18.1')
('C08F1.6', 'C54C6.6')
('F40G9.6', 'jkk-1')
('Y47G6A.31', 'dyf-3')
('klp-19', 'ZK792.7')
('C06E7.4', 'fbxb-114')
('erd-2', 'T02G5.3')
('tads-1', 'srr-4')
('unc-84', 'mks-1')
('tba-2', 'ric-4')
('ncbp-2', 'cnb-1')
('cya-1', 'ida-1')
('fbxb-100', 'C02E7.6')
('ola-1', 'cka-2')
('hmg-11', 'tbc-7')
('Y46G5A.7', 'tbc-18')
('sap-49', 'R01H2.8')
('F26F4.8', 'Y97E10C.1')
('inx-2', 'zig-8')
('eef-1G', 'F49E12.8')
('kin-10', 'R102.2')
('F22E5.20', 'ric-19')
('Y46G5A.8', 'xbx-4')
('calu-1', 'lntl-1')
('nurf-1', 'ift-20')
('C09G4.4', 'R05D7.3')
('Y69A2AR.28', 'Y38H6C.24')
('let-418', 'K08F8.7')
('attf-2', 'F58B4.3')
('F35G12.11', 'Y53G8AM.4')
('ces-2', 'gasr-8')
('C06E1.1', 'cdkl-1')
('C39E9.11', 'K11C4.2')
('cyk-4', 'his-37')
('smu-1', 'C35D10.12')
('Y43F4B.10', 'F18A11.5')
('cdl-1', 'cut-2')
('ZK512.1', 'dmd-6')
('lsm-5', 'xbx-1')
('npp-16', 'nhr-52')
('pafo-1', 'sox-4')
('brd-1', 'pde-1')
('fbxc-51', 'F42C5.9')
('cks-1', 'jnk-1')
('F54D5.5', 'tmem-218')
('F53H1.4', 'clhm-1')
('Y27F2A.8', 'Y102A11A.9')
('EEED8.15', 'T13C2.7')
