('ham-1', 'odr-4')
('lipl-7', 'pgal-1')
('T09B4.5', 'dyf-19')
('dyf-7', 'del-3')
('mec-12', 'pdl-1')
('egl-46', 'T06G6.3')
('F48E3.6', 'F21C10.3')
('C04A11.2', 'mks-5')
('cnt-2', 'K02F2.5')
('fbxb-45', 'zig-8')
('R09B3.3', 'cab-1')
('rab-10', 'unc-43')
('skr-21', 'pnc-1')
('mab-20', 'C46C11.3')
('pdi-2', 'tax-6')
('fbxb-88', 'F39B2.8')
('hlh-3', 'inpp-1')
('cdk-1', 'M153.4')
('F46H5.3', 'C06E2.1')
('C40A11.6', 'F07C3.2')
('rsa-2', 'his-35')
('ZK930.6', 'srr-4')
('swsn-9', 'T27C4.1')
('F58D2.2', 'unc-24')
('cyb-1', 'dmd-5')
('ZK512.1', 'Y53G8AM.4')
('Y17D7C.6', 'C50B8.4')
('C24H12.1', 'arl-13')
('T28B8.1', 'H10D18.1')
('M01D1.12', 'cdkl-1')
('pab-2', 'T14B1.1')
('div-1', 'ida-1')
('ZK973.11', 'F47G4.5')
('hmg-11', 'cysl-1')
('fbxb-44', 'twk-14')
('ces-2', 'tppp-1')
('lin-17', 'F49E12.8')
('clec-266', 'cla-1')
('tbx-2', 'tbc-18')
('T16A1.10', 'F18E9.1')
('fbxb-42', 'R102.2')
('tbcb-1', 'F18A11.5')
('inx-3', 'par-5')
('tbca-1', 'aqp-12')
('K02E10.1', 'ssr-2')
('fbxb-66', 'Y48C3A.5')
('bath-38', 'F43G6.8')
('fbxb-70', 'jkk-1')
('bmk-1', 'C24A3.2')
('C01B10.6', 'flp-27')
('frm-2', 'guk-1')
('fbxb-37', 'T13C2.7')
('cle-1', 'hot-4')
('hlh-14', 'F58B4.3')
('madf-5', 'ric-3')
('smu-2', 'egl-13')
('unc-84', 'eat-6')
('sgo-1', 'K11C4.2')
('icp-1', 'nhr-52')
('aat-3', 'Y38H6C.24')
('cdh-3', 'gpc-1')
('ZK643.2', 'C35D10.12')
('gcna-1', 'his-37')
('ins-2', 'cka-2')
('kbp-2', 'C01H6.3')
('crb-1', 'M60.6')
('sto-1', 'pde-1')
('cyb-3', 'ZK813.5')
('swsn-4', 'cnb-1')
('ify-1', 'fbxb-114')
('klp-19', 'R05D7.3')
('riok-1', 'inx-19')
('T05H4.11', 'flp-34')
('C08F1.11', 'snt-4')
('cpf-1', 'Y97E10C.1')
('tba-2', 'lin-11')
('T23G7.3', 'F42C5.9')
('coel-1', 'daf-21')
('cya-1', 'nlp-3')
('eef-2', 'abts-1')
('C40A11.4', 'dyf-18')
('T24B8.5', 'clhm-1')
('T22C1.6', 'ric-4')
('unc-129', 'dmd-6')
('F26F4.8', 'lfi-1')
('F22E5.20', 'F44G4.7')
('Y43F4B.10', 'F58B4.6')
('F58D2.5', 'ZC132.11')
('sas-5', 'ZK792.7')
('ola-1', 'ten-1')
('K10G6.4', 'K08F8.7')
('Y47G6A.31', 'R11D1.12')
('attf-2', 'ZK856.14')
('top-2', 'F53G12.4')
('lit-1', 'unc-36')
('Y27F2A.8', 'sox-4')
('F35G12.11', 'rpi-1')
('C06E7.4', 'nex-4')
('tads-1', 'F39H12.3')
('ral-1', 'Y47G6A.32')
('F54E7.9', 'F29A7.4')
('brd-1', 'Y57G11C.9')
('Y69A2AR.28', 'C35E7.2')
('fbxb-43', 'nhr-258')
('rsa-1', 'K07C5.9')
('Y7A9D.1', 'pqn-44')
('F20C5.6', 'Y66D12A.30')
('duxl-1', 'F30A10.15')
('lsm-5', 'jnk-1')
('T25B9.8', 'F09E10.5')
('F53B3.5', 'ndk-1')
('cyk-4', 'nlp-7')
('C01B12.8', 'T01D3.1')
('npp-16', 'T23B3.2')
('C09G4.4', 'K06A4.2')
('sap-49', 'che-7')
('F33H2.3', 'bbs-5')
('ZC21.10', 'C14A11.5')
('T04D3.5', 'xbx-9')
('kin-10', 'E04D5.5')
('F19F10.9', 'snt-1')
('B0285.3', 'snt-6')
('pafo-1', 'glb-18')
('calu-1', 'C23G10.10')
('T22C1.4', 'hlh-4')
('enpl-1', 'atf-5')
('hel-1', 'unc-41')
('unc-39', 'sri-47')
('F54D5.5', 'cutl-26')
('sec-61', 'xbx-3')
('Y41D4A.3', 'sri-48')
('let-418', 'F56F10.2')
('ddx-17', 'shk-1')
('nop-1', 'rab-19')
('VH15N14R.1', 'unc-104')
('igcm-3', 'aldo-1')
('sas-7', 'sng-1')
('tbb-4', 'oig-8')
('C39E9.11', 'kin-1')
('K07F5.15', 'ipgm-1')
('ctc-3', 'F39H12.2')
('nurf-1', 'F58B4.2')
('ncbp-2', 'hlh-10')
('lbp-1', 'ZK994.6')
('mdt-9', 'nhr-58')
('cutl-29', 'che-12')
('eef-1G', 'ZC487.1')
('rfc-3', 'R13A5.9')
('F53H1.4', 'clc-3')
('syd-9', 'lgc-20')
('C48D1.1', 'dma-1')
('pif-1', 'ift-74')
('hil-7', 'klp-13')
