,five_prime_transcript,peak,five_prime_start,peak_start (used to compare),peak_end,nearest_three_prime_end,three_prime_transcript
0,Y73B3A.22.1,ham-1,117380.0,117192,117352,96341.0,Y73B3A.4.1
1,Y73B3A.11.1,ham-1,148124.0,146931,147058,122279.0,Y73B3A.14.1
2,R57.2.1,ham-1,297234.0,293238,293627,214696.0,Y73B3B.2.1
3,Y73B3A.11.1,ham-1,148124.0,146931,147058,122279.0,Y73B3A.14.1
4,M02E1.1a.1,ham-1,326111.0,325535,326001,323225.0,M02E1.3.1
5,C04E7.2.1,ham-1,353619.0,353167,353603,335430.0,C04E7.3.1
6,R57.2.1,ham-1,297234.0,293238,293627,214696.0,Y73B3B.2.1
7,C04E7.2.1,ham-1,353619.0,353151,353602,335430.0,C04E7.3.1
8,M02E1.1a.2,ham-1,326113.0,325535,326001,323225.0,M02E1.3.1
9,C04E7.2.1,ham-1,353619.0,353079,353615,335430.0,C04E7.3.1
10,M02E1.1a.2,ham-1,326113.0,325233,326124,323225.0,M02E1.3.1
11,C04E7.2.1,ham-1,353619.0,351596,351599,335430.0,C04E7.3.1
12,M02E1.1a.2,ham-1,326113.0,323969,324534,323225.0,M02E1.3.1
13,C04E7.2.1,ham-1,353619.0,348110,348535,335430.0,C04E7.3.1
14,M02E1.1a.1,ham-1,326111.0,325233,326124,323225.0,M02E1.3.1
15,M02E1.1a.2,ham-1,326113.0,323969,324441,323225.0,M02E1.3.1
16,M02E1.1a.1,ham-1,326111.0,323969,324534,323225.0,M02E1.3.1
17,ZK1193.1.1,ham-1,421707.0,409974,410537,406489.0,ZK1193.2b.2
18,M02E1.1a.1,ham-1,326111.0,323969,324441,323225.0,M02E1.3.1
19,ZK1193.1.1,ham-1,421707.0,409929,410577,406489.0,ZK1193.2b.2
20,ZK1193.1.1,ham-1,421707.0,409919,410574,406489.0,ZK1193.2b.2
21,F13C5.1.2,ham-1,602160.0,601314,602046,596313.0,F13C5.3a.1
22,F13C5.1.1,ham-1,602160.0,601314,602046,596313.0,F13C5.3a.1
23,F13C5.2.1,ham-1,593960.0,593123,593989,576486.0,F57C12.5e.1
24,F13C5.1.1,ham-1,602160.0,601249,602061,596313.0,F13C5.3a.1
25,F13C5.2.1,ham-1,593960.0,593117,593889,576486.0,F57C12.5e.1
26,F13C5.1.2,ham-1,602160.0,601249,602061,596313.0,F13C5.3a.1
27,F13C5.2.1,ham-1,593960.0,593111,594017,576486.0,F57C12.5e.1
28,C02H7.1.1,ham-1,763752.0,760679,761041,752880.0,C02H7.3b.1
29,T04G9.1a.1,ham-1,788353.0,788023,788369,780533.0,T04G9.2.1
30,F56F10.2.1,ham-1,859615.0,859446,859782,845902.0,F39H12.4.1
