,five_prime_transcript,peak,five_prime_start,five_prime_end,peak_start,peak_end
0,H10E21.3a.1,ham-1,14754.0,14869.0,14787,15010
1,H10E21.3a.1,ham-1,14754.0,14869.0,14790,15000
2,W07B3.2c.1,ham-1,348401.0,348429.0,348405,350378
3,W07B3.2f.1,ham-1,348401.0,348427.0,348405,350378
4,W07B3.2e.1,ham-1,348401.0,348429.0,348405,350378
5,W07B3.2d.1,ham-1,348401.0,348427.0,348405,350378
6,W07B3.2b.1,ham-1,348401.0,348427.0,348405,350378
7,W07B3.2b.2,ham-1,348401.0,348427.0,348405,350378
8,W07B3.2d.2,ham-1,348401.0,348433.0,348405,350378
9,W07B3.2a.2,ham-1,348401.0,348427.0,348405,350378
10,W07B3.2c.2,ham-1,348401.0,348427.0,348405,350378
11,W07B3.2a.1,ham-1,348401.0,348427.0,348405,350378
12,T19C3.8.1,ham-1,634573.0,634626.0,634574,634958
13,F42G9.7.1,ham-1,793503.0,793733.0,793505,793999
14,F42G9.7.1,ham-1,793503.0,793733.0,793567,793951
15,Y22D7AR.6.2,ham-1,1676698.0,1676721.0,1676700,1676895
16,Y22D7AR.6.2,ham-1,1676698.0,1676721.0,1676706,1676893
17,Y54F10AM.10.1,ham-1,2528629.0,2528689.0,2528647,2529018
18,Y71H2B.10.1,ham-1,2597023.0,2597034.0,2597030,2597478
19,Y71H2AM.10.1,ham-1,2716278.0,2716614.0,2716342,2716694
20,Y71H2AM.20b.2,ham-1,2785691.0,2785823.0,2785774,2786287
21,Y71H2AM.20b.1,ham-1,2785691.0,2785816.0,2785774,2786287
22,Y71H2AM.23.1,ham-1,2814937.0,2814969.0,2814962,2815427
23,Y71H2AM.20b.1,ham-1,2785691.0,2785816.0,2785788,2786210
24,Y71H2AM.20b.2,ham-1,2785691.0,2785823.0,2785788,2786210
25,Y71H2AM.20b.1,ham-1,2785691.0,2785816.0,2785812,2786289
26,Y71H2AM.20b.2,ham-1,2785691.0,2785823.0,2785812,2786289
27,C34C12.2.1,ham-1,3453786.0,3456599.0,3456159,3456637
28,C34C12.2.1,ham-1,3453786.0,3456599.0,3456163,3456637
29,C34C12.2.1,ham-1,3453786.0,3456599.0,3456199,3456585
30,C34C12.2.1,ham-1,3453786.0,3456599.0,3456159,3456637
31,C34C12.2.1,ham-1,3453786.0,3456599.0,3456163,3456637
32,C34C12.2.1,ham-1,3453786.0,3456599.0,3456199,3456585
33,M01F1.4a.1,ham-1,3509918.0,3510033.0,3509924,3510259
34,C36A4.10.2,ham-1,3830236.0,3831438.0,3831351,3831577
35,C36A4.10.2,ham-1,3830236.0,3831438.0,3831358,3831587
36,C36A4.10.4,ham-1,3831342.0,3831435.0,3831351,3831577
37,C36A4.10.4,ham-1,3831342.0,3831435.0,3831358,3831587
38,C36A4.10.5,ham-1,3831342.0,3831428.0,3831351,3831577
39,C36A4.10.1,ham-1,3831342.0,3831481.0,3831351,3831577
40,C36A4.10.5,ham-1,3831342.0,3831428.0,3831358,3831587
41,C36A4.10.1,ham-1,3831342.0,3831481.0,3831358,3831587
42,C36A4.10.3,ham-1,3831342.0,3831435.0,3831351,3831577
43,C36A4.10.3,ham-1,3831342.0,3831435.0,3831358,3831587
44,R10E4.2f.1,ham-1,4280118.0,4280224.0,4280208,4281324
45,R10E4.2a.2,ham-1,4280118.0,4280219.0,4280208,4281324
46,R10E4.2b.1,ham-1,4280118.0,4280217.0,4280208,4281324
47,R10E4.2g.2,ham-1,4280118.0,4280219.0,4280208,4281324
48,R10E4.2f.1,ham-1,4280118.0,4280224.0,4280214,4281244
49,R10E4.2a.2,ham-1,4280118.0,4280219.0,4280214,4281244
50,R10E4.2a.3,ham-1,4280119.0,4280214.0,4280208,4281324
51,R10E4.2a.1,ham-1,4280118.0,4280217.0,4280208,4281324
52,R10E4.2b.1,ham-1,4280118.0,4280217.0,4280214,4281244
53,R10E4.2g.1,ham-1,4280118.0,4280219.0,4280208,4281324
