,five_prime_transcript,peak,five_prime_start,peak_start (used to compare),peak_end,nearest_three_prime_end,three_prime_transcript
0,F23F1.1a.1,ham-1,43907.0,43666,44031,42362.0,F23F1.8b.1
1,F23F1.1a.1,ham-1,43907.0,43561,44052,42362.0,F23F1.8b.1
2,C23H3.1a.1,ham-1,69654.0,66245,66756,64304.0,C23H3.2a.1
3,F23F1.1a.1,ham-1,43907.0,43552,44030,42362.0,F23F1.8b.1
4,C23H3.1b.1,ham-1,69654.0,66245,66756,64304.0,C23H3.2a.1
5,C23H3.1a.1,ham-1,69654.0,66167,66915,64304.0,C23H3.2a.1
6,C23H3.1a.1,ham-1,69654.0,66167,66865,64304.0,C23H3.2a.1
7,C23H3.1b.1,ham-1,69654.0,66167,66915,64304.0,C23H3.2a.1
8,C23H3.1b.1,ham-1,69654.0,66167,66865,64304.0,C23H3.2a.1
9,T01D1.2a.3,ham-1,162374.0,159325,159744,154945.0,T25D3.3.1
10,T01D1.2a.3,ham-1,162374.0,159277,159755,154945.0,T25D3.3.1
11,T01D1.2a.3,ham-1,162374.0,159275,159771,154945.0,T25D3.3.1
12,T01D1.2a.3,ham-1,162374.0,157128,157224,154945.0,T25D3.3.1
13,T01D1.2a.3,ham-1,162374.0,155938,156394,154945.0,T25D3.3.1
14,T01D1.2a.3,ham-1,162374.0,155922,156357,154945.0,T25D3.3.1
15,T01D1.2a.3,ham-1,162374.0,155906,156582,154945.0,T25D3.3.1
16,T01D1.2g.2,ham-1,163080.0,159325,159744,154945.0,T25D3.3.1
17,T01D1.2f.3,ham-1,163080.0,159325,159744,154945.0,T25D3.3.1
18,T01D1.2f.3,ham-1,163080.0,159277,159755,154945.0,T25D3.3.1
19,T01D1.2g.2,ham-1,163080.0,159277,159755,154945.0,T25D3.3.1
20,T01D1.2f.3,ham-1,163080.0,159275,159771,154945.0,T25D3.3.1
21,T01D1.2g.2,ham-1,163080.0,159275,159771,154945.0,T25D3.3.1
22,T01D1.2a.4,ham-1,163080.0,159325,159744,154945.0,T25D3.3.1
23,T01D1.2g.1,ham-1,163080.0,159325,159744,154945.0,T25D3.3.1
24,T01D1.2g.2,ham-1,163080.0,157128,157224,154945.0,T25D3.3.1
25,T01D1.2f.3,ham-1,163080.0,157128,157224,154945.0,T25D3.3.1
26,T01D1.2e.3,ham-1,163080.0,159325,159744,154945.0,T25D3.3.1
27,T01D1.2a.4,ham-1,163080.0,159277,159755,154945.0,T25D3.3.1
28,T01D1.2a.1,ham-1,163086.0,159325,159744,154945.0,T25D3.3.1
29,T01D1.2g.2,ham-1,163080.0,155938,156394,154945.0,T25D3.3.1
30,T01D1.2a.4,ham-1,163080.0,159275,159771,154945.0,T25D3.3.1
31,T01D1.2f.3,ham-1,163080.0,155938,156394,154945.0,T25D3.3.1
32,T01D1.2e.3,ham-1,163080.0,159277,159755,154945.0,T25D3.3.1
33,T01D1.2g.2,ham-1,163080.0,155922,156357,154945.0,T25D3.3.1
34,T01D1.2g.1,ham-1,163080.0,159277,159755,154945.0,T25D3.3.1
35,T01D1.2f.3,ham-1,163080.0,155922,156357,154945.0,T25D3.3.1
36,T01D1.2g.2,ham-1,163080.0,155906,156582,154945.0,T25D3.3.1
37,T01D1.2e.1,ham-1,162423.0,159325,159744,154945.0,T25D3.3.1
38,T01D1.2a.4,ham-1,163080.0,157128,157224,154945.0,T25D3.3.1
39,T01D1.2f.3,ham-1,163080.0,155906,156582,154945.0,T25D3.3.1
40,T01D1.2a.1,ham-1,163086.0,159277,159755,154945.0,T25D3.3.1
41,T01D1.2e.3,ham-1,163080.0,159275,159771,154945.0,T25D3.3.1
42,T01D1.2g.1,ham-1,163080.0,159275,159771,154945.0,T25D3.3.1
43,T01D1.2a.4,ham-1,163080.0,155938,156394,154945.0,T25D3.3.1
44,T01D1.2e.1,ham-1,162423.0,159277,159755,154945.0,T25D3.3.1
45,T01D1.2e.3,ham-1,163080.0,157128,157224,154945.0,T25D3.3.1
46,T01D1.2a.1,ham-1,163086.0,159275,159771,154945.0,T25D3.3.1
47,T01D1.2f.1,ham-1,163078.0,159325,159744,154945.0,T25D3.3.1
48,T01D1.2a.4,ham-1,163080.0,155922,156357,154945.0,T25D3.3.1
49,T01D1.2a.2,ham-1,163086.0,159325,159744,154945.0,T25D3.3.1
50,T01D1.2a.3,ham-1,163086.0,159325,159744,154945.0,T25D3.3.1
51,T01D1.2e.2,ham-1,163080.0,159325,159744,154945.0,T25D3.3.1
52,T01D1.2e.3,ham-1,163080.0,155938,156394,154945.0,T25D3.3.1
53,T01D1.2e.1,ham-1,162423.0,159275,159771,154945.0,T25D3.3.1
54,T01D1.2a.4,ham-1,163080.0,155906,156582,154945.0,T25D3.3.1
55,T01D1.2a.3,ham-1,163086.0,159277,159755,154945.0,T25D3.3.1
56,T01D1.2g.1,ham-1,163080.0,157128,157224,154945.0,T25D3.3.1
57,T01D1.2a.1,ham-1,163086.0,157128,157224,154945.0,T25D3.3.1
58,T01D1.2a.2,ham-1,163086.0,159277,159755,154945.0,T25D3.3.1
59,T01D1.2f.2,ham-1,163080.0,159325,159744,154945.0,T25D3.3.1
60,T01D1.2e.2,ham-1,163080.0,159277,159755,154945.0,T25D3.3.1
61,T01D1.2a.3,ham-1,163086.0,159275,159771,154945.0,T25D3.3.1
62,T01D1.2e.1,ham-1,163086.0,159325,159744,154945.0,T25D3.3.1
63,T01D1.2e.3,ham-1,163080.0,155922,156357,154945.0,T25D3.3.1
64,T01D1.2e.1,ham-1,163086.0,159277,159755,154945.0,T25D3.3.1
65,T01D1.2a.3,ham-1,163086.0,157128,157224,154945.0,T25D3.3.1
66,T01D1.2e.2,ham-1,163080.0,159275,159771,154945.0,T25D3.3.1
67,T01D1.2a.2,ham-1,163086.0,159275,159771,154945.0,T25D3.3.1
68,T01D1.2f.1,ham-1,163078.0,159277,159755,154945.0,T25D3.3.1
69,T01D1.2e.1,ham-1,163086.0,159275,159771,154945.0,T25D3.3.1
70,T01D1.2e.1,ham-1,162423.0,157128,157224,154945.0,T25D3.3.1
71,T01D1.2a.3,ham-1,163086.0,155938,156394,154945.0,T25D3.3.1
72,T01D1.2a.1,ham-1,163086.0,155938,156394,154945.0,T25D3.3.1
73,T01D1.2f.2,ham-1,163080.0,159277,159755,154945.0,T25D3.3.1
74,T01D1.2g.1,ham-1,163080.0,155938,156394,154945.0,T25D3.3.1
75,T01D1.2a.2,ham-1,163086.0,157128,157224,154945.0,T25D3.3.1
76,T01D1.2e.1,ham-1,163086.0,157128,157224,154945.0,T25D3.3.1
77,T01D1.2e.1,ham-1,162423.0,155938,156394,154945.0,T25D3.3.1
78,T01D1.2e.2,ham-1,163080.0,157128,157224,154945.0,T25D3.3.1
79,T01D1.2a.1,ham-1,163086.0,155922,156357,154945.0,T25D3.3.1
80,T01D1.2f.1,ham-1,163078.0,159275,159771,154945.0,T25D3.3.1
81,T01D1.2e.3,ham-1,163080.0,155906,156582,154945.0,T25D3.3.1
82,T01D1.2a.3,ham-1,163086.0,155922,156357,154945.0,T25D3.3.1
83,T01D1.2a.2,ham-1,163086.0,155938,156394,154945.0,T25D3.3.1
84,T01D1.2e.2,ham-1,163080.0,155938,156394,154945.0,T25D3.3.1
85,T01D1.2e.1,ham-1,163086.0,155938,156394,154945.0,T25D3.3.1
86,T01D1.2a.3,ham-1,163086.0,155906,156582,154945.0,T25D3.3.1
87,T01D1.2e.1,ham-1,162423.0,155922,156357,154945.0,T25D3.3.1
88,T01D1.2f.2,ham-1,163080.0,159275,159771,154945.0,T25D3.3.1
89,T01D1.2a.2,ham-1,163086.0,155922,156357,154945.0,T25D3.3.1
90,T01D1.2e.2,ham-1,163080.0,155922,156357,154945.0,T25D3.3.1
91,T01D1.2a.1,ham-1,163086.0,155906,156582,154945.0,T25D3.3.1
92,T01D1.2g.1,ham-1,163080.0,155922,156357,154945.0,T25D3.3.1
93,T01D1.2e.1,ham-1,163086.0,155922,156357,154945.0,T25D3.3.1
94,T01D1.2a.2,ham-1,163086.0,155906,156582,154945.0,T25D3.3.1
95,T01D1.2e.2,ham-1,163080.0,155906,156582,154945.0,T25D3.3.1
96,T01D1.2e.1,ham-1,162423.0,155906,156582,154945.0,T25D3.3.1
97,T01D1.2l.1,ham-1,163101.0,159325,159744,154945.0,T25D3.3.1
98,T01D1.2f.1,ham-1,163078.0,157128,157224,154945.0,T25D3.3.1
99,T01D1.2e.1,ham-1,163086.0,155906,156582,154945.0,T25D3.3.1
100,T01D1.2l.1,ham-1,163101.0,159277,159755,154945.0,T25D3.3.1
101,T01D1.2f.2,ham-1,163080.0,157128,157224,154945.0,T25D3.3.1
102,T01D1.2f.1,ham-1,163078.0,155938,156394,154945.0,T25D3.3.1
103,T01D1.2g.1,ham-1,163080.0,155906,156582,154945.0,T25D3.3.1
104,T01D1.2l.1,ham-1,163101.0,159275,159771,154945.0,T25D3.3.1
105,T01D1.2g.3,ham-1,163093.0,159325,159744,154945.0,T25D3.3.1
106,T01D1.2f.2,ham-1,163080.0,155938,156394,154945.0,T25D3.3.1
107,T01D1.2e.4,ham-1,163120.0,159325,159744,154945.0,T25D3.3.1
108,T01D1.2l.1,ham-1,163101.0,157128,157224,154945.0,T25D3.3.1
109,B0432.5b.1,ham-1,257897.0,255185,255517,241113.0,Y43H11AL.3a.1
110,B0432.5b.1,ham-1,257897.0,255110,255567,241113.0,Y43H11AL.3a.1
111,T01D1.2e.4,ham-1,163120.0,159277,159755,154945.0,T25D3.3.1
112,T01D1.2f.2,ham-1,163080.0,155922,156357,154945.0,T25D3.3.1
113,T01D1.2l.1,ham-1,163101.0,155938,156394,154945.0,T25D3.3.1
114,B0432.5c.1,ham-1,258397.0,255185,255517,241113.0,Y43H11AL.3a.1
115,B0432.5b.1,ham-1,257897.0,255107,255567,241113.0,Y43H11AL.3a.1
