,five_prime_transcript,peak,five_prime_start,five_prime_end,peak_start,peak_end
0,Y41D4B.19b.1,ham-1,1595806.0,1595824.0,1595811,1596176
1,Y41D4B.19a.1,ham-1,1595806.0,1595824.0,1595811,1596176
2,Y38F2AL.12.1,ham-1,2316573.0,2317857.0,2316660,2317192
3,Y38F2AL.12.1,ham-1,2316573.0,2317857.0,2316660,2317192
4,Y67D8C.8.1,ham-1,3069802.0,3070210.0,3069806,3069977
5,Y67D8C.8.1,ham-1,3069802.0,3070210.0,3069806,3069977
6,F42A6.7d.1,ham-1,3338406.0,3338544.0,3338490,3339090
7,F42A6.7c.2,ham-1,3338212.0,3338300.0,3338250,3339098
8,F42A6.7b.1,ham-1,3338379.0,3338544.0,3338490,3339090
9,F42A6.7a.1,ham-1,3338406.0,3338544.0,3338490,3339090
10,F42A6.7b.1,ham-1,3338212.0,3338298.0,3338250,3339098
11,F42A6.7d.2,ham-1,3338406.0,3338548.0,3338490,3339090
12,F42A6.7c.2,ham-1,3338212.0,3338300.0,3338255,3339105
13,F42A6.7a.2,ham-1,3338406.0,3338544.0,3338490,3339090
14,F42A6.7b.1,ham-1,3338212.0,3338298.0,3338255,3339105
15,F42A6.7b.3,ham-1,3338212.0,3338298.0,3338250,3339098
16,F42A6.7b.3,ham-1,3338212.0,3338298.0,3338255,3339105
17,C04C3.5a.1,ham-1,3399102.0,3399231.0,3399105,3399462
18,F42A6.7b.4,ham-1,3338212.0,3338521.0,3338250,3339098
19,F42A6.7c.1,ham-1,3338212.0,3338298.0,3338250,3339098
20,F42A6.7b.2,ham-1,3338212.0,3338298.0,3338250,3339098
21,M57.1.3,ham-1,3532513.0,3533651.0,3533055,3533336
22,F42A6.7c.1,ham-1,3338212.0,3338298.0,3338255,3339105
23,F42A6.7b.4,ham-1,3338212.0,3338521.0,3338255,3339105
24,F42A6.7b.2,ham-1,3338212.0,3338298.0,3338255,3339105
25,M57.1.3,ham-1,3532513.0,3533651.0,3533055,3533336
26,F42A6.7b.4,ham-1,3338212.0,3338521.0,3338490,3339090
27,F42A6.7b.3,ham-1,3338379.0,3338550.0,3338490,3339090
28,F36A4.14.1,ham-1,4277712.0,4277875.0,4277767,4278067
29,F36A4.14.1,ham-1,4277712.0,4277875.0,4277769,4278139
30,R08C7.12c.1,ham-1,4453354.0,4454677.0,4454312,4455134
31,R08C7.12c.1,ham-1,4453354.0,4454677.0,4454312,4455166
32,R08C7.12c.1,ham-1,4453354.0,4454677.0,4454416,4455181
33,ZK180.1.1,ham-1,4506610.0,4506748.0,4506657,4507007
34,F29B9.4a.2,ham-1,4653262.0,4653331.0,4653265,4653451
35,K08F11.4b.2,ham-1,4712441.0,4712553.0,4712477,4712786
36,K08F11.4b.3,ham-1,4712455.0,4712514.0,4712477,4712786
37,K08F11.4b.2,ham-1,4712441.0,4712553.0,4712484,4712774
38,K08F11.4b.1,ham-1,4712455.0,4712624.0,4712477,4712786
39,K08F11.4b.3,ham-1,4712455.0,4712514.0,4712484,4712774
