,five_prime_transcript,peak,five_prime_start,peak_start (used to compare),peak_end,nearest_three_prime_end,three_prime_transcript
0,Y48G1C.2a.2,ham-1,71845.0,69873,70417,55336.0,Y48G1C.5.1
1,Y48G1C.2a.2,ham-1,71845.0,69841,70426,55336.0,Y48G1C.5.1
2,Y48G1C.2a.2,ham-1,72511.0,69873,70417,55336.0,Y48G1C.5.1
3,F53G12.10.1,ham-1,111038.0,109836,110972,109264.0,F53G12.1.1
4,Y48G1C.2a.3,ham-1,71862.0,69873,70417,55336.0,Y48G1C.5.1
5,Y48G1C.2a.1,ham-1,72511.0,69873,70417,55336.0,Y48G1C.5.1
6,Y48G1C.2a.2,ham-1,72511.0,69841,70426,55336.0,Y48G1C.5.1
7,Y48G1C.2a.3,ham-1,72511.0,69873,70417,55336.0,Y48G1C.5.1
8,F53G12.10.1,ham-1,111038.0,109832,110950,109264.0,F53G12.1.1
9,Y48G1C.2a.3,ham-1,72511.0,69841,70426,55336.0,Y48G1C.5.1
10,Y48G1C.2a.3,ham-1,72647.0,69873,70417,55336.0,Y48G1C.5.1
11,Y48G1C.2a.1,ham-1,72511.0,69841,70426,55336.0,Y48G1C.5.1
12,Y48G1C.2a.3,ham-1,71862.0,69841,70426,55336.0,Y48G1C.5.1
13,Y48G1C.2a.3,ham-1,72647.0,69841,70426,55336.0,Y48G1C.5.1
14,Y48G1C.2a.2,ham-1,72647.0,69873,70417,55336.0,Y48G1C.5.1
15,Y48G1C.2a.1,ham-1,72647.0,69873,70417,55336.0,Y48G1C.5.1
16,Y48G1C.2a.2,ham-1,72647.0,69841,70426,55336.0,Y48G1C.5.1
17,Y48G1C.2a.1,ham-1,72647.0,69841,70426,55336.0,Y48G1C.5.1
18,F53G12.10.2,ham-1,111038.0,109836,110972,109264.0,F53G12.1.1
19,Y48G1C.12.1,ham-1,47461.0,39650,40101,28279.0,Y74C9A.5.1
20,F53G12.10.2,ham-1,111038.0,109832,110950,109264.0,F53G12.1.1
21,Y48G1C.12.1,ham-1,47461.0,39641,40105,28279.0,Y74C9A.5.1
