,five_prime_transcript,peak,five_prime_end,peak_start,peak_end (used to compare),nearest_three_prime_start,three_prime_transcript
0,T05C7.5.1,ham-1,58425.0,60416,60432,86840.0,B0545.3.1
1,Y38C1AB.8a.1,ham-1,48880.0,51037,51710,52725.0,T05C7.4.1
2,Y38C1AB.8b.1,ham-1,48880.0,51037,51710,52725.0,T05C7.4.1
3,T05C7.5.1,ham-1,58425.0,77625,77654,86840.0,B0545.3.1
4,Y38C1AB.8a.1,ham-1,48880.0,51044,51710,52725.0,T05C7.4.1
5,Y38C1AB.8b.1,ham-1,48880.0,51044,51710,52725.0,T05C7.4.1
6,T05C7.5.1,ham-1,58425.0,77634,77650,86840.0,B0545.3.1
7,Y38C1AB.8a.1,ham-1,48880.0,51194,51630,52725.0,T05C7.4.1
8,T05C7.5.1,ham-1,58425.0,79237,79707,86840.0,B0545.3.1
9,Y38C1AB.8a.1,ham-1,48880.0,53054,53294,52725.0,T05C7.4.1
10,T05C7.5.1,ham-1,58425.0,79284,79708,86840.0,B0545.3.1
11,F29C4.7a.1,ham-1,125929.0,125980,126613,127515.0,F29C4.2.1
12,B0545.3.1,ham-1,90091.0,102887,103194,110152.0,B0545.1b.3
13,T05C7.5.1,ham-1,58425.0,102887,103194,86840.0,B0545.3.1
14,F29C4.7a.1,ham-1,125929.0,126069,126582,127515.0,F29C4.2.1
15,B0545.3.1,ham-1,90091.0,102899,103194,110152.0,B0545.1b.3
16,F29C4.7a.1,ham-1,125929.0,126097,126574,127515.0,F29C4.2.1
17,Y38C1AB.8b.1,ham-1,48880.0,51194,51630,52725.0,T05C7.4.1
18,B0545.3.1,ham-1,90091.0,125980,126613,110152.0,B0545.1b.3
19,Y38C1AB.8b.1,ham-1,48880.0,53054,53294,52725.0,T05C7.4.1
20,T05C7.5.1,ham-1,58918.0,60416,60432,86840.0,B0545.3.1
21,T21D12.4.1,ham-1,264232.0,264159,264772,268272.0,T21D12.12.1
22,R02D3.5.1,ham-1,240307.0,240307,240682,243905.0,R02D3.2.1
23,F29C4.7b.1,ham-1,125931.0,125980,126613,127515.0,F29C4.2.1
24,T21D12.4.1,ham-1,264232.0,264168,264762,268272.0,T21D12.12.1
25,F29C4.7a.1,ham-1,125929.0,131986,132576,127515.0,F29C4.2.1
26,R02D3.5.1,ham-1,240307.0,247495,247987,243905.0,R02D3.2.1
27,T21D12.5.1,ham-1,273399.0,274186,274755,278273.0,T21D12.9c.1
28,F29C4.7b.1,ham-1,125931.0,126069,126582,127515.0,F29C4.2.1
29,T05C7.5.1,ham-1,58918.0,77625,77654,86840.0,B0545.3.1
30,T21D12.5.1,ham-1,273399.0,274280,274620,278273.0,T21D12.9c.1
31,K02D7.1a.2,ham-1,294676.0,303366,303610,310932.0,K02D7.5.1
32,T21D12.4.1,ham-1,264232.0,264330,264777,268272.0,T21D12.12.1
33,F29C4.7b.1,ham-1,125931.0,126097,126574,127515.0,F29C4.2.1
34,T21D12.5.1,ham-1,273399.0,282068,282374,278273.0,T21D12.9c.1
35,T05C7.5.1,ham-1,58918.0,77634,77650,86840.0,B0545.3.1
36,F29C4.7b.1,ham-1,125931.0,131986,132576,127515.0,F29C4.2.1
37,T21D12.4.1,ham-1,264232.0,274186,274755,268272.0,T21D12.12.1
38,K02D7.1a.2,ham-1,294676.0,304671,304743,310932.0,K02D7.5.1
39,K02D7.1a.3,ham-1,294651.0,303366,303610,310932.0,K02D7.5.1
40,K02D7.1a.3,ham-1,294651.0,304671,304743,310932.0,K02D7.5.1
41,T05C7.5.1,ham-1,58918.0,79237,79707,86840.0,B0545.3.1
42,R02D3.7.1,ham-1,255429.0,255470,255871,255966.0,R02D3.8.1
43,K02D7.1a.2,ham-1,294676.0,304696,304697,310932.0,K02D7.5.1
44,K02D7.1a.3,ham-1,294651.0,304696,304697,310932.0,K02D7.5.1
45,R02D3.7.1,ham-1,255429.0,255475,255865,255966.0,R02D3.8.1
46,K02D7.1a.2,ham-1,294676.0,313147,313415,310932.0,K02D7.5.1
47,T05C7.5.1,ham-1,58918.0,79284,79708,86840.0,B0545.3.1
48,K02D7.1a.3,ham-1,294651.0,313147,313415,310932.0,K02D7.5.1
49,R02D3.7.1,ham-1,255429.0,255478,255817,255966.0,R02D3.8.1
50,K02D7.1a.2,ham-1,298304.0,303366,303610,310932.0,K02D7.5.1
51,K02D7.1a.3,ham-1,294845.0,303366,303610,310932.0,K02D7.5.1
52,R02D3.7.1,ham-1,255429.0,261635,261974,255966.0,R02D3.8.1
53,K02D7.1a.2,ham-1,298304.0,304671,304743,310932.0,K02D7.5.1
54,T05C7.5.1,ham-1,58918.0,102887,103194,86840.0,B0545.3.1
55,K02D7.1a.2,ham-1,298304.0,304696,304697,310932.0,K02D7.5.1
56,K02D7.1a.1,ham-1,294676.0,303366,303610,310932.0,K02D7.5.1
57,K02D7.1a.3,ham-1,294845.0,304671,304743,310932.0,K02D7.5.1
58,K02D7.1a.2,ham-1,298304.0,313147,313415,310932.0,K02D7.5.1
59,K02D7.1a.3,ham-1,294845.0,304696,304697,310932.0,K02D7.5.1
60,K02D7.1a.1,ham-1,294676.0,304671,304743,310932.0,K02D7.5.1
61,K02D7.1a.3,ham-1,294845.0,313147,313415,310932.0,K02D7.5.1
62,K02D7.1a.1,ham-1,294676.0,304696,304697,310932.0,K02D7.5.1
63,K02D7.6.1,ham-1,322595.0,322496,322880,325435.0,K02D7.3a.1
64,K02D7.6.1,ham-1,322814.0,322496,322880,325435.0,K02D7.3a.1
65,K02D7.3b.1,ham-1,326530.0,326634,327002,330450.0,F18F11.5.1
66,T07A9.2.1,ham-1,390468.0,390281,390686,393039.0,T07A9.10.1
67,Y66H1B.4.1,ham-1,383185.0,385010,385856,386550.0,T07A9.11.3
68,T07A9.15.1,ham-1,393546.0,393334,394183,396249.0,T07A9.9.3
69,K02D7.6.1,ham-1,322814.0,322533,322841,325435.0,K02D7.3a.1
70,K02D7.6.1,ham-1,322595.0,322533,322841,325435.0,K02D7.3a.1
71,T07A9.15.1,ham-1,393546.0,393374,394034,396249.0,T07A9.9.3
72,Y66H1B.2h.1,ham-1,376015.0,377707,378208,379885.0,Y66H1B.4.1
73,Y66H1B.4.1,ham-1,383185.0,385018,385856,386550.0,T07A9.11.3
74,T07A9.2.1,ham-1,390468.0,390302,390671,393039.0,T07A9.10.1
75,Y66H1B.2h.1,ham-1,376015.0,377777,378208,379885.0,Y66H1B.4.1
76,K02D7.3b.1,ham-1,326530.0,366088,366840,330450.0,F18F11.5.1
77,K02D7.1a.1,ham-1,294676.0,313147,313415,310932.0,K02D7.5.1
78,K02D7.6.1,ham-1,322814.0,326634,327002,325435.0,K02D7.3a.1
79,T07A9.3.1,ham-1,408896.0,410193,411070,415505.0,T07A9.12.1
80,K02D7.6.1,ham-1,322595.0,326634,327002,325435.0,K02D7.3a.1
81,Y66H1B.4.1,ham-1,383185.0,385071,385825,386550.0,T07A9.11.3
82,Y66H1B.2h.1,ham-1,376015.0,385010,385856,379885.0,Y66H1B.4.1
83,T07A9.15.1,ham-1,393546.0,393380,394219,396249.0,T07A9.9.3
84,T07A9.2.1,ham-1,390468.0,390304,390686,393039.0,T07A9.10.1
85,Y66H1B.4.1,ham-1,383185.0,390281,390686,386550.0,T07A9.11.3
86,T07A9.2.1,ham-1,390468.0,393334,394183,393039.0,T07A9.10.1
87,T07A9.3.1,ham-1,408896.0,410220,411108,415505.0,T07A9.12.1
88,T07A9.3.2,ham-1,408896.0,410193,411070,415505.0,T07A9.12.1
89,T07A9.6.1,ham-1,425177.0,425559,425931,426953.0,Y66H1A.4.1
90,T07A9.15.1,ham-1,393546.0,410193,411070,396249.0,T07A9.9.3
91,T07A9.3.1,ham-1,410033.0,410193,411070,415505.0,T07A9.12.1
92,T07A9.3.1,ham-1,408896.0,410284,410887,415505.0,T07A9.12.1
93,T07A9.3.1,ham-1,410033.0,410220,411108,415505.0,T07A9.12.1
94,T07A9.3.1,ham-1,408896.0,425559,425931,415505.0,T07A9.12.1
95,T07A9.3.3,ham-1,408898.0,410193,411070,415505.0,T07A9.12.1
96,T07A9.3.1,ham-1,410033.0,410284,410887,415505.0,T07A9.12.1
97,T07A9.3.2,ham-1,410035.0,410193,411070,415505.0,T07A9.12.1
98,Y66H1A.6c.1,ham-1,440554.0,443600,444133,444697.0,Y66H1A.3.1
99,T07A9.3.1,ham-1,410033.0,425559,425931,415505.0,T07A9.12.1
100,M04G7.3b.1,ham-1,463879.0,504673,504745,506731.0,W03G1.6c.1
101,T07A9.3.3,ham-1,408898.0,410220,411108,415505.0,T07A9.12.1
102,Y66H1A.6c.1,ham-1,440554.0,443613,444133,444697.0,Y66H1A.3.1
103,T07A9.6.1,ham-1,425177.0,425565,425986,426953.0,Y66H1A.4.1
104,Y66H1A.6a.1,ham-1,440554.0,443600,444133,444697.0,Y66H1A.3.1
105,T07A9.3.2,ham-1,408896.0,410220,411108,415505.0,T07A9.12.1
106,W03G1.6c.1,ham-1,519457.0,519347,519809,520214.0,W03G1.7a.1
107,Y66H1A.6c.1,ham-1,440554.0,443625,444054,444697.0,Y66H1A.3.1
108,T07A9.3.2,ham-1,410035.0,410220,411108,415505.0,T07A9.12.1
109,Y66H1A.6a.1,ham-1,440554.0,443613,444133,444697.0,Y66H1A.3.1
110,F56A11.5a.1,ham-1,570844.0,572529,572822,580246.0,F56A11.6.1
111,M04G7.3a.1,ham-1,481167.0,504673,504745,506731.0,W03G1.6c.1
112,T07A9.3.3,ham-1,408898.0,410284,410887,415505.0,T07A9.12.1
113,M04G7.3b.1,ham-1,463879.0,519347,519809,506731.0,W03G1.6c.1
114,W03G1.6c.1,ham-1,519457.0,519404,519797,520214.0,W03G1.7a.1
115,T07A9.3.2,ham-1,408896.0,410284,410887,415505.0,T07A9.12.1
116,F56A11.5a.1,ham-1,570844.0,572549,572831,580246.0,F56A11.6.1
117,Y66H1A.6c.1,ham-1,440554.0,504673,504745,444697.0,Y66H1A.3.1
118,T07A9.3.2,ham-1,410035.0,410284,410887,415505.0,T07A9.12.1
119,M04G7.3a.1,ham-1,481167.0,519347,519809,506731.0,W03G1.6c.1
120,Y66H1A.6a.1,ham-1,440554.0,443625,444054,444697.0,Y66H1A.3.1
121,T07A9.3.3,ham-1,408898.0,425559,425931,415505.0,T07A9.12.1
122,Y66H1A.6a.1,ham-1,440554.0,504673,504745,444697.0,Y66H1A.3.1
123,W03G1.6c.1,ham-1,519457.0,519447,519778,520214.0,W03G1.7a.1
124,F56A11.5a.1,ham-1,570844.0,607698,607949,580246.0,F56A11.6.1
125,T07A9.3.2,ham-1,410035.0,425559,425931,415505.0,T07A9.12.1
126,T07A9.3.2,ham-1,408896.0,425559,425931,415505.0,T07A9.12.1
127,T07A9.6.1,ham-1,425177.0,425596,425985,426953.0,Y66H1A.4.1
128,W03G1.6c.1,ham-1,519457.0,559040,559127,520214.0,W03G1.7a.1
129,T07A9.6.1,ham-1,425177.0,443600,444133,426953.0,Y66H1A.4.1
130,F56A11.5b.1,ham-1,570849.0,572529,572822,580246.0,F56A11.6.1
131,K11H12.2.1,ham-1,654576.0,654650,655459,655830.0,K11H12.8b.1
132,F56B3.2.1,ham-1,768584.0,770079,770252,776544.0,F56B3.8a.1
133,F56A11.5b.1,ham-1,570849.0,572549,572831,580246.0,F56A11.6.1
