,five_prime_transcript,peak,five_prime_start,five_prime_end,peak_start,peak_end
0,Y43H11AL.3a.1,ham-1,255183.0,255196.0,255185,255517
1,Y43H11AL.3a.2,ham-1,255183.0,255194.0,255185,255517
2,K07E8.7a.1,ham-1,650352.0,650367.0,650362,650690
3,K07E8.7b.1,ham-1,650352.0,650367.0,650362,650690
4,F42G2.8.1,ham-1,2415449.0,2415531.0,2415486,2415806
5,Y47G7B.2.1,ham-1,2707939.0,2708014.0,2707949,2708216
6,Y47G7B.2.1,ham-1,2707939.0,2708014.0,2707967,2708212
7,Y25C1A.8b.2,ham-1,3076814.0,3076934.0,3076887,3077408
8,Y25C1A.8b.2,ham-1,3076814.0,3076934.0,3076898,3077362
9,Y25C1A.8b.1,ham-1,3076814.0,3076959.0,3076887,3077408
10,Y25C1A.8b.1,ham-1,3076814.0,3076959.0,3076898,3077362
11,W09G10.1a.1,ham-1,3521298.0,3521410.0,3521408,3521789
12,K10G6.4.1,ham-1,3974969.0,3975065.0,3974974,3975176
13,B0286.4c.4,ham-1,4376391.0,4376464.0,4376412,4377310
14,B0286.4c.3,ham-1,4376391.0,4376465.0,4376412,4377310
15,B0286.4c.1,ham-1,4376391.0,4376458.0,4376412,4377310
16,B0286.4a.1,ham-1,4376401.0,4376458.0,4376412,4377310
17,B0286.4c.2,ham-1,4376391.0,4376458.0,4376412,4377310
18,F10G7.9b.1,ham-1,4706186.0,4706267.0,4706209,4706734
19,C33F10.7a.1,ham-1,4821565.0,4821739.0,4821589,4822119
20,C33F10.7a.1,ham-1,4821565.0,4821739.0,4821589,4822211
21,F10G7.9b.1,ham-1,4706319.0,4706355.0,4706352,4706705
22,C27A2.3.1,ham-1,5055156.0,5055179.0,5055161,5055546
23,C27A2.6.1,ham-1,5081158.0,5081174.0,5081166,5081755
24,C27A2.6.1,ham-1,5081158.0,5081174.0,5081171,5081755
25,C34F11.8.1,ham-1,5210782.0,5210964.0,5210809,5211119
26,C34F11.8.1,ham-1,5210782.0,5210964.0,5210839,5211097
27,EEED8.8.1,ham-1,5389838.0,5389881.0,5389872,5390297
28,EEED8.8.1,ham-1,5389838.0,5389881.0,5389872,5390304
29,EEED8.10a.1,ham-1,5398883.0,5398902.0,5398896,5399520
30,C17G10.4e.1,ham-1,5593374.0,5593427.0,5593404,5593978
31,C17G10.4c.1,ham-1,5593374.0,5593427.0,5593404,5593978
32,C17G10.4h.1,ham-1,5593374.0,5593427.0,5593404,5593978
33,C17G10.4a.1,ham-1,5593374.0,5593425.0,5593404,5593978
34,C17G10.4g.1,ham-1,5593374.0,5593427.0,5593404,5593978
35,C17G10.4d.1,ham-1,5593374.0,5593426.0,5593404,5593978
36,C17G10.4e.1,ham-1,5593374.0,5593427.0,5593417,5593971
37,C17G10.4a.1,ham-1,5593374.0,5593425.0,5593417,5593971
38,C17G10.4d.1,ham-1,5593374.0,5593426.0,5593417,5593971
39,C17G10.4h.1,ham-1,5593374.0,5593427.0,5593417,5593971
40,C17G10.4c.1,ham-1,5593374.0,5593427.0,5593417,5593971
41,C17G10.4g.1,ham-1,5593374.0,5593427.0,5593417,5593971
42,F55C12.5b.1,ham-1,5873564.0,5873614.0,5873566,5874534
43,B0034.3b.1,ham-1,5948632.0,5948811.0,5948699,5948965
44,F21H12.6.1,ham-1,6097432.0,6097597.0,6097445,6097802
45,C32D5.5.1,ham-1,6331257.0,6331341.0,6331260,6331871
46,C32D5.5.1,ham-1,6331257.0,6331341.0,6331268,6331902
47,C44B7.9.1,ham-1,6887707.0,6887805.0,6887719,6887853
48,C44B7.9.1,ham-1,6887707.0,6887805.0,6887766,6887822
49,F22D3.4.1,ham-1,6925952.0,6927603.0,6926104,6927894
50,F22D3.4.1,ham-1,6925952.0,6927603.0,6926109,6927264
