Your Input	Public Name
H30A04.1a.1	eat-20
C07A12.5a.1	spr-3
ZK662.3a.1	nhr-48
F42F12.14.1	F42F12.14
C36E6.1b.1	fubl-3
W05H7.1.1	W05H7.1
K09C4.5.1	K09C4.5
F55G7.1.1	F55G7.1
Y15E3A.4.1	Y15E3A.4
F34H10.4b.1	F34H10.4
H06A10.1.1	H06A10.1
R12H7.1a.1	unc-9
F21G4.5.1	F21G4.5
F53H4.4.2	F53H4.4
T22B7.1b.1	egl-13
C06E2.2.1	C06E2.2
F40B5.2b.1	F40B5.2
T05A10.1h.1	sma-9
C03A3.1a.1	C03A3.1
F11A1.3f.1	daf-12
R08E3.3b.1	R08E3.3
F59C12.1b.1	cdh-9
Y73B3A.11.1	Y73B3A.11
C02D4.1.1	jud-4
R03G5.1.1	eef-1A.2
K01A12.4.1	K01A12.4
C36E6.2.1	C36E6.2
ZK662.3b.1	nhr-48
F11A1.3e.3	daf-12
F48F7.1a.1	alg-1
F55F3.1.1	aakb-1
F01G12.2a.2	sur-7
C06G1.4.1	ain-1
F49E2.5a.1	F49E2.5
T20B5.1.1	apa-2
K02B9.4a.1	elt-3
F35H12.6.2	F35H12.6
F35H12.2d.1	tbc-11
F46F6.2a.1	pkn-1
T01C8.1c.1	aak-2
C39B10.3.1	C39B10.3
C05D9.1.1	snx-1
C39B10.5.1	C39B10.5
C36E6.2.2	C36E6.2
F13C5.1.1	F13C5.1
C11G6.2.1	C11G6.2
F46H5.2c.3	F46H5.2
F11C1.4.1	F11C1.4
B0563.6b.2	B0563.6
C11G6.1a.1	taf-3
B0563.6b.1	B0563.6
F38E9.5.2	twf-2
C26B9.1b.2	C26B9.1
R09G11.2a.1	nhr-1
C27C12.2.1	egrh-1
F11C7.1.1	pbo-6
F14F3.1c.1	vab-3
C01C4.3b.1	C01C4.3
C43H6.4.1	C43H6.4
C18B12.2.1	seb-3
F11D5.3a.1	ddr-2
R07E4.1b.1	R07E4.1
C10E2.3a.1	hda-4
T24D3.2.1	T24D3.2
K09A11.1.1	K09A11.1
M163.4.1	gfi-3
C07A12.4.2	pdi-2
F16F9.1.1	F16F9.1
R11G1.2.1	R11G1.2
