,five_prime_transcript,peak,five_prime_end,peak_start,peak_end (used to compare),nearest_three_prime_start,three_prime_transcript
0,H10E21.5.1,ham-1,23962.0,24478,24586,35454.0,W05G11.4.1
1,F54C4.4.1,ham-1,87381.0,87181,87545,89153.0,F54C4.1.1
2,H10E21.3a.1,ham-1,14869.0,14787,15010,17280.0,H10E21.1a.1
3,H10E21.5.1,ham-1,23962.0,24494,24581,35454.0,W05G11.4.1
4,F54C4.4.1,ham-1,87381.0,89142,89566,89153.0,F54C4.1.1
5,H10E21.3a.1,ham-1,14869.0,14790,15000,17280.0,H10E21.1a.1
6,H10E21.5.1,ham-1,23962.0,25520,25932,35454.0,W05G11.4.1
7,H10E21.3a.1,ham-1,14869.0,24478,24586,17280.0,H10E21.1a.1
8,H10E21.5.1,ham-1,23962.0,25524,25924,35454.0,W05G11.4.1
9,H10E21.5.1,ham-1,23962.0,25614,25906,35454.0,W05G11.4.1
10,H10E21.5.1,ham-1,23962.0,27483,27727,35454.0,W05G11.4.1
11,H10E21.5.1,ham-1,23962.0,29629,29989,35454.0,W05G11.4.1
12,H10E21.5.1,ham-1,23962.0,30449,30740,35454.0,W05G11.4.1
13,H10E21.5.1,ham-1,23962.0,30452,30743,35454.0,W05G11.4.1
14,H10E21.5.1,ham-1,23962.0,86278,86731,35454.0,W05G11.4.1
15,W07B3.2a.1,ham-1,348427.0,348396,350365,377459.0,K10F12.3b.1
16,W07B3.2a.1,ham-1,348427.0,348405,350378,377459.0,K10F12.3b.1
17,W07B3.2a.2,ham-1,348427.0,348396,350365,377459.0,K10F12.3b.1
18,W07B3.2a.1,ham-1,348427.0,349388,350309,377459.0,K10F12.3b.1
19,W07B3.2d.1,ham-1,348427.0,348396,350365,377459.0,K10F12.3b.1
20,W07B3.2a.2,ham-1,348427.0,348405,350378,377459.0,K10F12.3b.1
21,W07B3.2d.1,ham-1,348427.0,348405,350378,377459.0,K10F12.3b.1
22,W07B3.2f.1,ham-1,348427.0,348396,350365,377459.0,K10F12.3b.1
23,W07B3.2a.1,ham-1,348427.0,354405,356257,377459.0,K10F12.3b.1
24,W07B3.2d.1,ham-1,348427.0,349388,350309,377459.0,K10F12.3b.1
25,W07B3.2e.1,ham-1,348429.0,348396,350365,377459.0,K10F12.3b.1
26,W07B3.2d.1,ham-1,348427.0,354405,356257,377459.0,K10F12.3b.1
27,W07B3.2f.1,ham-1,348427.0,348405,350378,377459.0,K10F12.3b.1
28,W07B3.2a.2,ham-1,348427.0,349388,350309,377459.0,K10F12.3b.1
29,W07B3.2e.1,ham-1,348429.0,348405,350378,377459.0,K10F12.3b.1
30,W07B3.2f.1,ham-1,348427.0,349388,350309,377459.0,K10F12.3b.1
31,W07B3.2a.1,ham-1,348427.0,354406,356256,377459.0,K10F12.3b.1
32,W07B3.2d.1,ham-1,348427.0,354406,356256,377459.0,K10F12.3b.1
33,W07B3.2e.1,ham-1,348429.0,349388,350309,377459.0,K10F12.3b.1
34,W07B3.2d.2,ham-1,348433.0,348396,350365,377459.0,K10F12.3b.1
35,W07B3.2b.1,ham-1,348427.0,348396,350365,377459.0,K10F12.3b.1
36,W07B3.2e.1,ham-1,348429.0,354405,356257,377459.0,K10F12.3b.1
37,W07B3.2a.2,ham-1,348427.0,354405,356257,377459.0,K10F12.3b.1
38,W07B3.2c.1,ham-1,348429.0,348396,350365,377459.0,K10F12.3b.1
39,W07B3.2a.1,ham-1,348427.0,354558,355388,377459.0,K10F12.3b.1
40,W07B3.2f.1,ham-1,348427.0,354405,356257,377459.0,K10F12.3b.1
41,W07B3.2e.1,ham-1,348429.0,354406,356256,377459.0,K10F12.3b.1
42,W07B3.2a.2,ham-1,348427.0,354406,356256,377459.0,K10F12.3b.1
43,W07B3.2d.1,ham-1,348427.0,354558,355388,377459.0,K10F12.3b.1
44,W07B3.2d.2,ham-1,348433.0,348405,350378,377459.0,K10F12.3b.1
45,W07B3.2c.2,ham-1,348427.0,348396,350365,377459.0,K10F12.3b.1
46,W07B3.2f.1,ham-1,348427.0,354406,356256,377459.0,K10F12.3b.1
47,W07B3.2a.1,ham-1,348427.0,432802,433408,377459.0,K10F12.3b.1
48,W07B3.2d.1,ham-1,348427.0,432802,433408,377459.0,K10F12.3b.1
49,W07B3.2f.1,ham-1,348427.0,354558,355388,377459.0,K10F12.3b.1
50,W07B3.2b.2,ham-1,348427.0,348396,350365,377459.0,K10F12.3b.1
51,W07B3.2c.2,ham-1,348427.0,348405,350378,377459.0,K10F12.3b.1
52,W07B3.2a.2,ham-1,354789.0,354405,356257,377459.0,K10F12.3b.1
53,W07B3.2a.2,ham-1,348427.0,354558,355388,377459.0,K10F12.3b.1
54,W07B3.2b.1,ham-1,348427.0,348405,350378,377459.0,K10F12.3b.1
55,W07B3.2b.2,ham-1,348427.0,348405,350378,377459.0,K10F12.3b.1
56,W07B3.2a.2,ham-1,354789.0,354406,356256,377459.0,K10F12.3b.1
57,W07B3.2e.1,ham-1,348429.0,354558,355388,377459.0,K10F12.3b.1
58,W07B3.2c.2,ham-1,354800.0,354405,356257,377459.0,K10F12.3b.1
59,W07B3.2f.1,ham-1,348427.0,432802,433408,377459.0,K10F12.3b.1
60,W07B3.2a.2,ham-1,354789.0,354558,355388,377459.0,K10F12.3b.1
61,W07B3.2b.2,ham-1,348427.0,349388,350309,377459.0,K10F12.3b.1
62,W07B3.2b.1,ham-1,348427.0,349388,350309,377459.0,K10F12.3b.1
63,W07B3.2a.2,ham-1,348427.0,432802,433408,377459.0,K10F12.3b.1
64,W07B3.2a.2,ham-1,354789.0,432802,433408,377459.0,K10F12.3b.1
65,W07B3.2e.1,ham-1,348429.0,432802,433408,377459.0,K10F12.3b.1
