,five_prime_transcript,peak,five_prime_end,peak_start,peak_end (used to compare),nearest_three_prime_start,three_prime_transcript
0,Y74C9A.4a.1,ham-1,26781.0,26783,27334,27589.0,Y74C9A.5.2
1,Y74C9A.4a.1,ham-1,26781.0,35352,35619,27589.0,Y74C9A.5.2
2,Y74C9A.4b.1,ham-1,26781.0,26783,27334,27589.0,Y74C9A.5.2
3,Y74C9A.4b.1,ham-1,26781.0,35352,35619,27589.0,Y74C9A.5.2
4,Y74C9A.5.2,ham-1,33150.0,35352,35619,49417.0,Y48G1C.12.1
5,Y74C9A.5.2,ham-1,33150.0,35376,35594,49417.0,Y48G1C.12.1
6,Y48G1C.5.1,ham-1,64066.0,69841,70426,80345.0,Y48G1C.2a.2
7,Y74C9A.5.2,ham-1,33150.0,39641,40105,49417.0,Y48G1C.12.1
8,Y48G1C.5.1,ham-1,64066.0,69873,70417,80345.0,Y48G1C.2a.2
9,Y74C9A.5.2,ham-1,33150.0,39650,40101,49417.0,Y48G1C.12.1
10,Y74C9A.5.2,ham-1,32542.0,35352,35619,49417.0,Y48G1C.12.1
11,Y74C9A.5.1,ham-1,32548.0,35352,35619,49417.0,Y48G1C.12.1
12,Y74C9A.5.2,ham-1,33150.0,69841,70426,49417.0,Y48G1C.12.1
13,Y48G1C.5.1,ham-1,64066.0,108134,108845,80345.0,Y48G1C.2a.2
14,Y74C9A.5.2,ham-1,32542.0,35376,35594,49417.0,Y48G1C.12.1
15,Y74C9A.5.1,ham-1,32548.0,35376,35594,49417.0,Y48G1C.12.1
16,Y74C9A.5.2,ham-1,32542.0,39641,40105,49417.0,Y48G1C.12.1
17,Y74C9A.5.1,ham-1,32548.0,39641,40105,49417.0,Y48G1C.12.1
18,Y74C9A.5.2,ham-1,32542.0,39650,40101,49417.0,Y48G1C.12.1
19,Y74C9A.5.1,ham-1,32548.0,39650,40101,49417.0,Y48G1C.12.1
20,Y74C9A.5.2,ham-1,32542.0,69841,70426,49417.0,Y48G1C.12.1
21,Y74C9A.5.1,ham-1,32548.0,69841,70426,49417.0,Y48G1C.12.1
22,F53G12.1.1,ham-1,110057.0,109832,110950,112228.0,F53G12.10.1
23,F53G12.1.1,ham-1,110057.0,109836,110972,112228.0,F53G12.10.1
24,F53G12.1.1,ham-1,110057.0,180015,180730,112228.0,F53G12.10.1
25,F56C11.3.1,ham-1,182772.0,182739,183161,207953.0,Y48G1BL.2a.1
26,F56C11.3.1,ham-1,182772.0,264454,264638,207953.0,Y48G1BL.2a.1
27,Y48G1BR.1.1,ham-1,259157.0,264454,264638,285935.0,C53D5.2.1
28,Y48G1BR.1.1,ham-1,259157.0,264479,264566,285935.0,C53D5.2.1
29,Y48G1BR.1.1,ham-1,259157.0,288883,289801,285935.0,C53D5.2.1
30,C53D5.6.1,ham-1,314989.0,314906,315666,318549.0,Y48G1A.5a.1
31,C53D5.6.1,ham-1,314989.0,314945,315687,318549.0,Y48G1A.5a.1
32,C53D5.6.1,ham-1,314989.0,316036,316409,318549.0,Y48G1A.5a.1
33,C53D5.4b.1,ham-1,289185.0,288883,289801,305081.0,C53D5.1c.1
34,C53D5.6.1,ham-1,314989.0,316065,316403,318549.0,Y48G1A.5a.1
35,C53D5.4b.1,ham-1,289185.0,298265,298694,305081.0,C53D5.1c.1
36,C53D5.6.1,ham-1,314989.0,381335,382976,318549.0,Y48G1A.5a.1
37,R119.4.1,ham-1,381902.0,381335,382976,388435.0,R119.6.1
38,W04C9.6.1,ham-1,488392.0,488164,488630,489772.0,W04C9.2.1
39,C53D5.4a.1,ham-1,289185.0,288883,289801,305081.0,C53D5.1c.1
40,C53D5.4b.1,ham-1,289185.0,298274,298702,305081.0,C53D5.1c.1
41,W04C9.6.1,ham-1,488392.0,488181,488630,489772.0,W04C9.2.1
42,R119.4.1,ham-1,381902.0,381376,383001,388435.0,R119.6.1
43,C53D5.4a.1,ham-1,289185.0,298265,298694,305081.0,C53D5.1c.1
44,C53D5.4b.1,ham-1,289185.0,314906,315666,305081.0,C53D5.1c.1
45,W04C9.6.1,ham-1,488392.0,488229,488616,489772.0,W04C9.2.1
46,Y65B4BL.5a.1,ham-1,516397.0,518072,518796,520109.0,Y65B4BL.6a.1
47,R119.4.1,ham-1,381902.0,394976,395586,388435.0,R119.6.1
48,R119.5b.1,ham-1,394415.0,394976,395586,412511.0,Y50C1A.1a.1
49,Y65B4BL.5a.1,ham-1,516397.0,527198,528385,520109.0,Y65B4BL.6a.1
50,Y65B4BL.6a.1,ham-1,521554.0,527198,528385,531886.0,Y65B4BL.1.1
51,W04C9.6.1,ham-1,488392.0,518072,518796,489772.0,W04C9.2.1
52,Y65B4A.8.1,ham-1,663610.0,663498,663867,664387.0,Y65B4A.9a.1
53,Y65B4BL.6a.1,ham-1,521554.0,529306,530990,531886.0,Y65B4BL.1.1
54,C53D5.4a.1,ham-1,289185.0,298274,298702,305081.0,C53D5.1c.1
55,Y65B4BL.6a.1,ham-1,521554.0,529317,530924,531886.0,Y65B4BL.1.1
56,Y18H1A.3a.1,ham-1,713648.0,716580,716949,717890.0,Y18H1A.7a.1
57,Y18H1A.3a.1,ham-1,715874.0,716580,716949,717890.0,Y18H1A.7a.1
