,five_prime_transcript,peak,five_prime_end,peak_start,peak_end (used to compare),nearest_three_prime_start,three_prime_transcript
0,Y73B3A.4.1,ham-1,104777.0,117183,117357,118990.0,Y73B3A.22.1
1,Y73B3A.4.1,ham-1,104777.0,117192,117352,118990.0,Y73B3A.22.1
2,Y73B3A.4.1,ham-1,104777.0,146931,147058,118990.0,Y73B3A.22.1
3,R04A9.4.1,ham-1,382709.0,382665,383111,384385.0,R04A9.5.1
4,R04A9.4.1,ham-1,382709.0,382674,383100,384385.0,R04A9.5.1
5,ZK1193.2b.3,ham-1,408507.0,409919,410574,422647.0,ZK1193.1.1
6,R04A9.4.1,ham-1,382709.0,382697,383080,384385.0,R04A9.5.1
7,C04E7.3.1,ham-1,347217.0,348110,348535,357722.0,C04E7.2.1
8,ZK1193.2b.3,ham-1,408507.0,409929,410577,422647.0,ZK1193.1.1
9,R04A9.4.1,ham-1,382709.0,403073,403268,384385.0,R04A9.5.1
10,ZK1193.2b.3,ham-1,408507.0,409974,410537,422647.0,ZK1193.1.1
11,Y73B3B.2.1,ham-1,215588.0,293238,293627,299178.0,R57.2.1
12,ZK1193.2b.3,ham-1,408507.0,498615,499061,422647.0,ZK1193.1.1
13,Y73B3B.2.1,ham-1,215588.0,293238,293627,299178.0,R57.2.1
14,C04E7.3.1,ham-1,347217.0,351596,351599,357722.0,C04E7.2.1
15,ZK1193.2b.2,ham-1,409943.0,409919,410574,422647.0,ZK1193.1.1
16,ZK1193.2b.1,ham-1,409941.0,409919,410574,422647.0,ZK1193.1.1
17,Y73B3B.2.1,ham-1,215588.0,323969,324441,299178.0,R57.2.1
18,ZK1193.2b.2,ham-1,409504.0,409919,410574,422647.0,ZK1193.1.1
19,ZK1193.2b.2,ham-1,408154.0,409919,410574,422647.0,ZK1193.1.1
20,C04E7.3.1,ham-1,347217.0,353079,353615,357722.0,C04E7.2.1
21,ZK1193.2b.2,ham-1,408154.0,409929,410577,422647.0,ZK1193.1.1
22,ZK1193.2b.2,ham-1,409504.0,409929,410577,422647.0,ZK1193.1.1
23,ZK1193.2b.1,ham-1,409504.0,409919,410574,422647.0,ZK1193.1.1
24,ZK1193.2b.1,ham-1,408154.0,409919,410574,422647.0,ZK1193.1.1
25,ZK1193.2b.2,ham-1,409943.0,409929,410577,422647.0,ZK1193.1.1
26,C04E7.3.1,ham-1,347217.0,353151,353602,357722.0,C04E7.2.1
27,ZK1193.2b.1,ham-1,409941.0,409929,410577,422647.0,ZK1193.1.1
28,ZK1193.2b.1,ham-1,409504.0,409929,410577,422647.0,ZK1193.1.1
29,ZK1193.2b.1,ham-1,409725.0,409919,410574,422647.0,ZK1193.1.1
30,ZK1193.2b.2,ham-1,408154.0,409974,410537,422647.0,ZK1193.1.1
31,ZK1193.2b.2,ham-1,409943.0,409974,410537,422647.0,ZK1193.1.1
32,ZK1193.2b.1,ham-1,409504.0,409974,410537,422647.0,ZK1193.1.1
33,ZK1193.2b.2,ham-1,409504.0,409974,410537,422647.0,ZK1193.1.1
34,ZK1193.2b.1,ham-1,408154.0,409929,410577,422647.0,ZK1193.1.1
35,ZK1193.2b.2,ham-1,408154.0,498615,499061,422647.0,ZK1193.1.1
36,ZK1193.2b.2,ham-1,409504.0,498615,499061,422647.0,ZK1193.1.1
37,C04E7.3.1,ham-1,347217.0,353167,353603,357722.0,C04E7.2.1
38,ZK1193.2b.1,ham-1,409725.0,409929,410577,422647.0,ZK1193.1.1
39,ZK1193.2b.2,ham-1,409943.0,498615,499061,422647.0,ZK1193.1.1
40,C04E7.3.1,ham-1,347217.0,382665,383111,357722.0,C04E7.2.1
41,ZK1193.2b.1,ham-1,409941.0,409974,410537,422647.0,ZK1193.1.1
42,ZK1193.2b.1,ham-1,409725.0,409974,410537,422647.0,ZK1193.1.1
43,ZK1193.2b.1,ham-1,409725.0,498615,499061,422647.0,ZK1193.1.1
44,ZK1193.2b.1,ham-1,409504.0,498615,499061,422647.0,ZK1193.1.1
45,ZK1193.2b.1,ham-1,409941.0,498615,499061,422647.0,ZK1193.1.1
46,ZK1193.2b.2,ham-1,409725.0,409919,410574,422647.0,ZK1193.1.1
47,ZK1193.2b.1,ham-1,408154.0,409974,410537,422647.0,ZK1193.1.1
48,ZK1193.2b.2,ham-1,409725.0,409929,410577,422647.0,ZK1193.1.1
49,ZK1193.2b.1,ham-1,408154.0,498615,499061,422647.0,ZK1193.1.1
50,ZK1193.2b.2,ham-1,409725.0,409974,410537,422647.0,ZK1193.1.1
51,ZK1193.2b.2,ham-1,409725.0,498615,499061,422647.0,ZK1193.1.1
52,F57C12.4.1,ham-1,572701.0,573228,573705,576312.0,F57C12.5b.2
53,F28C10.3.1,ham-1,535828.0,535733,536311,549355.0,F57C12.2.1
54,F57C12.5c.1,ham-1,587485.0,593111,594017,595788.0,F13C5.2.1
55,F57C12.5b.2,ham-1,587898.0,593111,594017,595788.0,F13C5.2.1
56,F57C12.5b.2,ham-1,587483.0,593111,594017,595788.0,F13C5.2.1
57,F57C12.5d.1,ham-1,587489.0,593111,594017,595788.0,F13C5.2.1
58,F57C12.4.1,ham-1,572701.0,593111,594017,576312.0,F57C12.5b.2
59,F57C12.5c.1,ham-1,587485.0,593117,593889,595788.0,F13C5.2.1
60,F28C10.3.1,ham-1,535828.0,535739,536297,549355.0,F57C12.2.1
61,F57C12.5b.2,ham-1,587898.0,593117,593889,595788.0,F13C5.2.1
62,F57C12.5e.1,ham-1,587495.0,593111,594017,595788.0,F13C5.2.1
63,F57C12.5b.2,ham-1,587483.0,593117,593889,595788.0,F13C5.2.1
64,F57C12.5c.1,ham-1,587485.0,593123,593989,595788.0,F13C5.2.1
65,F57C12.5b.1,ham-1,587483.0,593111,594017,595788.0,F13C5.2.1
66,F13C5.3a.1,ham-1,599576.0,601249,602061,603033.0,F13C5.1.2
67,F57C12.5d.1,ham-1,587489.0,593117,593889,595788.0,F13C5.2.1
68,F57C12.5b.2,ham-1,587898.0,593123,593989,595788.0,F13C5.2.1
69,F57C12.5c.1,ham-1,587485.0,601249,602061,595788.0,F13C5.2.1
70,F57C12.5b.1,ham-1,587483.0,593117,593889,595788.0,F13C5.2.1
71,F57C12.5e.1,ham-1,587495.0,593117,593889,595788.0,F13C5.2.1
72,F57C12.5d.1,ham-1,587489.0,593123,593989,595788.0,F13C5.2.1
73,F57C12.5b.2,ham-1,587483.0,593123,593989,595788.0,F13C5.2.1
74,F28C10.3.1,ham-1,535828.0,535763,536180,549355.0,F57C12.2.1
75,F57C12.5e.1,ham-1,587495.0,593123,593989,595788.0,F13C5.2.1
76,F57C12.5b.2,ham-1,587898.0,601249,602061,595788.0,F13C5.2.1
77,F57C12.5b.2,ham-1,587483.0,601249,602061,595788.0,F13C5.2.1
78,F57C12.5b.1,ham-1,587483.0,593123,593989,595788.0,F13C5.2.1
79,F57C12.5e.1,ham-1,587495.0,601249,602061,595788.0,F13C5.2.1
80,F57C12.5d.1,ham-1,587489.0,601249,602061,595788.0,F13C5.2.1
81,F28C10.3.1,ham-1,535828.0,573228,573705,549355.0,F57C12.2.1
82,F13C5.3a.1,ham-1,599576.0,601314,602046,603033.0,F13C5.1.2
83,T19D7.4.1,ham-1,661777.0,661846,662427,664714.0,T19D7.5.1
84,F57C12.5b.1,ham-1,587483.0,601249,602061,595788.0,F13C5.2.1
85,F13C5.3a.1,ham-1,599576.0,602889,603062,603033.0,F13C5.1.2
86,T19D7.4.1,ham-1,661777.0,661871,662422,664714.0,T19D7.5.1
87,T19D7.4.1,ham-1,661777.0,661887,662345,664714.0,T19D7.5.1
88,T19D7.4.1,ham-1,661777.0,727355,728231,664714.0,T19D7.5.1
89,M02A10.3a.1,ham-1,725957.0,727355,728231,731094.0,C02H7.2.1
90,M02A10.3c.1,ham-1,725957.0,727355,728231,731094.0,C02H7.2.1
91,C02H7.3a.1,ham-1,759732.0,760679,761041,766651.0,C02H7.1.1
92,C02H7.3b.1,ham-1,759734.0,760679,761041,766651.0,C02H7.1.1
93,M02A10.3c.1,ham-1,725957.0,727370,728249,731094.0,C02H7.2.1
94,M02A10.3a.1,ham-1,725957.0,727370,728249,731094.0,C02H7.2.1
95,C02H7.3a.1,ham-1,759732.0,767948,768542,766651.0,C02H7.1.1
96,C02H7.3b.1,ham-1,759734.0,767948,768542,766651.0,C02H7.1.1
97,M02A10.3a.1,ham-1,725957.0,727680,728197,731094.0,C02H7.2.1
98,M02A10.3b.1,ham-1,725968.0,727355,728231,731094.0,C02H7.2.1
99,M02A10.3c.1,ham-1,725957.0,727680,728197,731094.0,C02H7.2.1
100,M02A10.3a.1,ham-1,725957.0,760679,761041,731094.0,C02H7.2.1
101,T04G9.5.1,ham-1,768069.0,767948,768542,770501.0,T04G9.3.1
102,M02A10.3c.1,ham-1,725957.0,760679,761041,731094.0,C02H7.2.1
103,M02A10.3b.1,ham-1,725968.0,727370,728249,731094.0,C02H7.2.1
104,T04G9.5.1,ham-1,768069.0,767959,768530,770501.0,T04G9.3.1
105,M02A10.3b.1,ham-1,725968.0,727680,728197,731094.0,C02H7.2.1
106,T04G9.5.1,ham-1,768069.0,768009,768478,770501.0,T04G9.3.1
107,M02A10.3b.1,ham-1,725968.0,760679,761041,731094.0,C02H7.2.1
108,T04G9.5.1,ham-1,768069.0,788023,788369,770501.0,T04G9.3.1
109,F25E2.5e.1,ham-1,825475.0,825911,826451,833499.0,F39H12.2.2
110,F25E2.5f.1,ham-1,825474.0,825911,826451,833499.0,F39H12.2.2
111,F25E2.5b.1,ham-1,825473.0,825911,826451,833499.0,F39H12.2.2
112,F39H12.4.1,ham-1,851521.0,859435,859727,862267.0,F56F10.3.1
113,F25E2.5c.1,ham-1,823846.0,825911,826451,833499.0,F39H12.2.2
114,F25E2.5e.1,ham-1,825475.0,827169,828446,833499.0,F39H12.2.2
115,F25E2.5f.1,ham-1,825474.0,827169,828446,833499.0,F39H12.2.2
116,F25E2.5b.1,ham-1,825473.0,827169,828446,833499.0,F39H12.2.2
117,F39H12.4.1,ham-1,851521.0,859446,859782,862267.0,F56F10.3.1
118,F25E2.5e.1,ham-1,825475.0,827241,828434,833499.0,F39H12.2.2
119,F25E2.5c.1,ham-1,823846.0,827169,828446,833499.0,F39H12.2.2
120,F39H12.4.1,ham-1,851521.0,864033,864695,862267.0,F56F10.3.1
121,F25E2.5f.1,ham-1,825474.0,827241,828434,833499.0,F39H12.2.2
122,F35H12.4.1,ham-1,924511.0,924419,925005,932173.0,F35H12.2d.1
123,F25E2.5b.1,ham-1,825473.0,827241,828434,833499.0,F39H12.2.2
124,F25E2.5c.1,ham-1,823846.0,827241,828434,833499.0,F39H12.2.2
125,ZC13.10.1,ham-1,902612.0,910316,910680,914116.0,F35H12.6.1
126,F25E2.5e.1,ham-1,825475.0,834217,834225,833499.0,F39H12.2.2
127,F35H12.4.1,ham-1,924511.0,932826,933369,932173.0,F35H12.2d.1
128,F25E2.5c.1,ham-1,823846.0,834217,834225,833499.0,F39H12.2.2
129,F25E2.5f.1,ham-1,825474.0,834217,834225,833499.0,F39H12.2.2
130,F25E2.5b.1,ham-1,825473.0,834217,834225,833499.0,F39H12.2.2
131,F25E2.5a.1,ham-1,825475.0,825911,826451,833499.0,F39H12.2.2
132,ZC13.10.1,ham-1,902612.0,910347,910638,914116.0,F35H12.6.1
133,C44C1.5a.1,ham-1,978008.0,980179,981036,982936.0,C44C1.1.1
134,F25E2.5a.1,ham-1,825475.0,827169,828446,833499.0,F39H12.2.2
135,C09E10.2a.1,ham-1,991456.0,992712,993516,1009321.0,F55A4.10.1
136,C09E10.2b.1,ham-1,991456.0,992712,993516,1009321.0,F55A4.10.1
137,F55A4.5.1,ham-1,1035286.0,1035112,1035445,1036903.0,F55A4.1.1
138,C44C1.5a.1,ham-1,978008.0,980179,981036,982936.0,C44C1.1.1
139,ZC13.10.1,ham-1,902612.0,924419,925005,914116.0,F35H12.6.1
140,C44C1.4.1,ham-1,974848.0,974636,975055,975525.0,C44C1.5a.1
141,F55A4.5.1,ham-1,1035286.0,1060767,1061055,1036903.0,F55A4.1.1
142,C09E10.2a.1,ham-1,991456.0,992718,993525,1009321.0,F55A4.10.1
143,F25E2.5a.1,ham-1,825475.0,827241,828434,833499.0,F39H12.2.2
144,C09E10.2b.1,ham-1,991456.0,992718,993525,1009321.0,F55A4.10.1
145,C44C1.5a.1,ham-1,978008.0,980261,980849,982936.0,C44C1.1.1
146,K03E6.5a.1,ham-1,1062447.0,1062687,1063075,1066606.0,K03E6.4.1
147,K03E6.5b.1,ham-1,1062453.0,1062687,1063075,1066606.0,K03E6.4.1
148,C44C1.4.1,ham-1,974848.0,980179,981036,975525.0,C44C1.5a.1
149,C09E10.2a.1,ham-1,991456.0,1010351,1011478,1009321.0,F55A4.10.1
150,C09E10.2b.1,ham-1,991456.0,1010351,1011478,1009321.0,F55A4.10.1
151,F25E2.5a.1,ham-1,825475.0,834217,834225,833499.0,F39H12.2.2
152,K03E6.5b.1,ham-1,1062453.0,1062692,1063071,1066606.0,K03E6.4.1
153,K03E6.5a.1,ham-1,1062447.0,1062692,1063071,1066606.0,K03E6.4.1
154,C44C1.5a.1,ham-1,978008.0,992712,993516,982936.0,C44C1.1.1
155,K03E6.7.1,ham-1,1088148.0,1091184,1091733,1095545.0,F49E7.2.1
156,K03E6.5a.1,ham-1,1062447.0,1063962,1064586,1066606.0,K03E6.4.1
157,K03E6.5b.1,ham-1,1062453.0,1063962,1064586,1066606.0,K03E6.4.1
158,K03E6.5a.1,ham-1,1062447.0,1064001,1064576,1066606.0,K03E6.4.1
159,K03E6.7.1,ham-1,1088148.0,1092968,1093772,1095545.0,F49E7.2.1
