,five_prime_transcript,peak,five_prime_end,peak_start,peak_end (used to compare),nearest_three_prime_start,three_prime_transcript
0,F23F1.8b.1,ham-1,43662.0,43552,44030,44850.0,F23F1.1a.1
1,F23F1.8b.1,ham-1,43662.0,43561,44052,44850.0,F23F1.1a.1
2,F23F1.8b.1,ham-1,43662.0,43666,44031,44850.0,F23F1.1a.1
3,F48A11.4a.1,ham-1,216621.0,216545,216983,217049.0,F48A11.5a.1
4,T25D3.2.1,ham-1,156009.0,155906,156582,169680.0,T01D1.2a.4
5,F23F1.8b.1,ham-1,43662.0,66167,66865,44850.0,F23F1.1a.1
6,F48A11.4a.1,ham-1,216621.0,216560,216993,217049.0,F48A11.5a.1
7,K10B4.3.1,ham-1,121221.0,121821,122763,123270.0,K10B4.4.1
8,T25D3.2.1,ham-1,156009.0,155922,156357,169680.0,T01D1.2a.4
9,F48A11.4a.1,ham-1,216621.0,216588,216963,217049.0,F48A11.5a.1
10,K10B4.3.1,ham-1,121221.0,121962,122775,123270.0,K10B4.4.1
11,T25D3.2.1,ham-1,156009.0,155938,156394,169680.0,T01D1.2a.4
12,F48A11.4a.1,ham-1,216621.0,255107,255567,217049.0,F48A11.5a.1
13,T25D3.2.1,ham-1,156009.0,157128,157224,169680.0,T01D1.2a.4
14,K10B4.3.1,ham-1,121221.0,121987,122749,123270.0,K10B4.4.1
15,Y43H11AL.3a.1,ham-1,255196.0,255107,255567,260967.0,B0432.5b.1
16,Y43H11AL.3a.2,ham-1,255194.0,255107,255567,260967.0,B0432.5b.1
17,T25D3.2.1,ham-1,156009.0,159275,159771,169680.0,T01D1.2a.4
18,Y43H11AL.3a.1,ham-1,255196.0,255110,255567,260967.0,B0432.5b.1
19,K10B4.3.1,ham-1,121221.0,155906,156582,123270.0,K10B4.4.1
20,Y43H11AL.3a.1,ham-1,255196.0,255185,255517,260967.0,B0432.5b.1
21,Y43H11AL.3a.2,ham-1,255194.0,255110,255567,260967.0,B0432.5b.1
22,T25D3.2.1,ham-1,156009.0,159277,159755,169680.0,T01D1.2a.4
23,Y43H11AL.3a.1,ham-1,255196.0,275766,276017,260967.0,B0432.5b.1
24,Y43H11AL.3a.2,ham-1,255194.0,255185,255517,260967.0,B0432.5b.1
25,T25D3.2.1,ham-1,156009.0,159325,159744,169680.0,T01D1.2a.4
26,Y43H11AL.3a.2,ham-1,255194.0,275766,276017,260967.0,B0432.5b.1
27,T25D3.2.1,ham-1,156009.0,216545,216983,169680.0,T01D1.2a.4
28,B0432.7a.1,ham-1,273972.0,275766,276017,276212.0,B0432.8.1
29,B0432.7a.1,ham-1,273972.0,285558,286112,276212.0,B0432.8.1
30,B0432.10.1,ham-1,285688.0,285558,286112,288474.0,B0432.4.1
31,B0432.10.1,ham-1,285688.0,285566,286112,288474.0,B0432.4.1
