,five_prime_transcript,peak,five_prime_start,five_prime_end,peak_start,peak_end
0,W04C9.6.1,ham-1,487991.0,488392.0,488164,488630
1,W04C9.6.1,ham-1,487991.0,488392.0,488181,488630
2,W04C9.6.1,ham-1,487991.0,488392.0,488229,488616
3,Y34D9A.8b.1,ham-1,1053646.0,1053826.0,1053654,1053920
4,Y34D9A.8b.1,ham-1,1053646.0,1053826.0,1053660,1053929
5,Y92H12BR.2.1,ham-1,1415794.0,1415807.0,1415803,1416402
6,Y71G12B.20a.1,ham-1,1651256.0,1651457.0,1651282,1651677
7,Y39G10AL.3.3,ham-1,2290952.0,2291091.0,2290968,2291665
8,Y39G10AL.3.3,ham-1,2290952.0,2291091.0,2290971,2291698
9,Y39G10AL.3.3,ham-1,2290952.0,2291091.0,2291023,2291626
10,Y71F9B.10a.1,ham-1,2776083.0,2776097.0,2776089,2776443
11,Y71F9B.10a.1,ham-1,2776083.0,2776097.0,2776090,2776464
12,Y71F9B.10c.1,ham-1,2776083.0,2776101.0,2776089,2776443
13,Y71F9B.10g.1,ham-1,2776083.0,2776104.0,2776089,2776443
14,Y71F9B.10b.1,ham-1,2776083.0,2776100.0,2776089,2776443
15,Y71F9B.10c.1,ham-1,2776083.0,2776101.0,2776090,2776464
16,Y71F9B.10g.1,ham-1,2776083.0,2776104.0,2776090,2776464
17,Y71F9B.10b.1,ham-1,2776083.0,2776100.0,2776090,2776464
18,Y71F9AL.17.1,ham-1,2900802.0,2900860.0,2900834,2901313
19,Y71F9AL.17.1,ham-1,2900802.0,2900860.0,2900850,2901288
20,Y54E10BR.1b.1,ham-1,3057694.0,3059313.0,3059009,3059350
21,Y54E10BR.1b.1,ham-1,3057694.0,3059313.0,3059010,3059337
22,Y44E3A.2.1,ham-1,3307790.0,3307935.0,3307838,3308166
23,Y44E3A.2.1,ham-1,3307790.0,3307935.0,3307846,3308139
24,Y47G6A.23a.1,ham-1,3600678.0,3600731.0,3600728,3601053
25,Y47G6A.23b.1,ham-1,3600678.0,3600735.0,3600728,3601053
26,Y47G6A.23d.1,ham-1,3600678.0,3600729.0,3600728,3601053
27,C32E8.7.1,ham-1,3781545.0,3781690.0,3781607,3782070
28,C50F2.6a.2,ham-1,3899696.0,3899797.0,3899707,3900113
29,C50F2.6a.2,ham-1,3899696.0,3899797.0,3899763,3900113
30,C18E3.7d.1,ham-1,4185174.0,4185229.0,4185221,4185464
31,R12E2.13.1,ham-1,4178436.0,4178447.0,4178437,4178832
32,C18E3.7b.3,ham-1,4185174.0,4185229.0,4185221,4185464
33,ZK973.8.1,ham-1,4366950.0,4367907.0,4367748,4368119
34,ZK973.8.1,ham-1,4366950.0,4367907.0,4367758,4368093
35,ZK973.8.1,ham-1,4366950.0,4367907.0,4367798,4368105
36,B0041.2a.1,ham-1,4653598.0,4653686.0,4653663,4654407
37,T19B4.7.1,ham-1,5691441.0,5691503.0,5691493,5692036
38,F56H1.7.1,ham-1,5762368.0,5762435.0,5762379,5762604
39,F56H1.7.1,ham-1,5762368.0,5762435.0,5762411,5762610
40,ZK484.6.1,ham-1,6090858.0,6091385.0,6090928,6093337
41,ZK484.6.1,ham-1,6090858.0,6091385.0,6090932,6093263
42,ZK484.6.1,ham-1,6090858.0,6091385.0,6090945,6093271
43,T08B2.10.1,ham-1,6220751.0,6220764.0,6220753,6221225
44,C55B7.9b.1,ham-1,6493670.0,6495253.0,6493750,6494238
45,C55B7.9b.1,ham-1,6493670.0,6495253.0,6493756,6494240
46,C55B7.9b.1,ham-1,6493670.0,6495253.0,6493791,6494176
47,C55B7.9b.1,ham-1,6493670.0,6495253.0,6493750,6494238
48,C55B7.9b.1,ham-1,6493670.0,6495253.0,6493756,6494240
49,C55B7.9b.1,ham-1,6493670.0,6495253.0,6493791,6494176
50,C37A2.5a.1,ham-1,6779907.0,6780151.0,6780013,6780454
51,K02F2.5.1,ham-1,6810310.0,6810451.0,6810316,6810733
52,C37A2.5a.1,ham-1,6779907.0,6780151.0,6780018,6780439
53,K02F2.5.1,ham-1,6810310.0,6810451.0,6810345,6810727
54,C37A2.5a.1,ham-1,6779907.0,6780151.0,6780027,6780432
55,F22D6.8.2,ham-1,7099700.0,7099866.0,7099772,7099845
56,H37N21.1.1,ham-1,7147482.0,7147578.0,7147568,7148208
57,H37N21.1.1,ham-1,7147482.0,7147578.0,7147573,7148210
58,F22D6.8.2,ham-1,7099700.0,7099866.0,7099772,7099845
59,T28F4.4a.2,ham-1,7493923.0,7494212.0,7494095,7495280
60,T28F4.4a.1,ham-1,7493923.0,7494212.0,7494095,7495280
61,T28F4.4a.2,ham-1,7493923.0,7494212.0,7494102,7495046
62,T28F4.4a.1,ham-1,7493923.0,7494212.0,7494102,7495046
63,T28F4.4a.2,ham-1,7493923.0,7494212.0,7494143,7494873
64,T28F4.4a.3,ham-1,7493923.0,7494214.0,7494095,7495280
65,T28F4.4a.1,ham-1,7493923.0,7494212.0,7494143,7494873
66,T28F4.4a.3,ham-1,7493923.0,7494214.0,7494102,7495046
67,T28F4.4a.3,ham-1,7493923.0,7494214.0,7494143,7494873
68,C26C6.5a.1,ham-1,7542012.0,7542157.0,7542044,7542608
69,C26C6.5b.1,ham-1,7542012.0,7542159.0,7542044,7542608
70,C26C6.5a.1,ham-1,7542012.0,7542157.0,7542052,7542611
71,C26C6.5b.1,ham-1,7542012.0,7542159.0,7542052,7542611
72,C26C6.5a.1,ham-1,7542012.0,7542157.0,7542110,7542513
73,C26C6.5b.1,ham-1,7542012.0,7542159.0,7542110,7542513
74,F26A3.2a.2,ham-1,7643242.0,7643328.0,7643268,7643412
75,F26A3.2a.1,ham-1,7643242.0,7643328.0,7643268,7643412
76,K04G2.1.1,ham-1,8027763.0,8027792.0,8027790,8028292
77,K04G2.1.2,ham-1,8027763.0,8027792.0,8027790,8028292
78,F43G9.3.1,ham-1,8614763.0,8614832.0,8614827,8615436
79,F43G9.3.2,ham-1,8614763.0,8614834.0,8614827,8615436
80,W06D4.1.1,ham-1,9055336.0,9055457.0,9055363,9055727
81,T06D10.1.2,ham-1,9074625.0,9077325.0,9076056,9076625
82,W06D4.1.1,ham-1,9055336.0,9055457.0,9055401,9055723
83,T06D10.1.2,ham-1,9074625.0,9077325.0,9076067,9076644
84,T06D10.1.2,ham-1,9074625.0,9077325.0,9076127,9076570
85,T06D10.1.2,ham-1,9074625.0,9077325.0,9077240,9077758
86,T06D10.1.2,ham-1,9074625.0,9077325.0,9076056,9076625
87,F36H2.2a.1,ham-1,9249221.0,9249358.0,9249244,9249568
88,T06D10.1.2,ham-1,9074625.0,9077325.0,9076067,9076644
89,F36H2.2a.1,ham-1,9249221.0,9249358.0,9249251,9249567
90,T06D10.1.2,ham-1,9074625.0,9077325.0,9076127,9076570
91,T06D10.1.2,ham-1,9074625.0,9077325.0,9077240,9077758
92,F30A10.1.1,ham-1,9474780.0,9474801.0,9474784,9475285
93,C16C2.3a.2,ham-1,9720846.0,9720912.0,9720880,9722781
94,C16C2.3a.1,ham-1,9720846.0,9720906.0,9720880,9722781
95,C16C2.3a.2,ham-1,9720846.0,9720912.0,9720892,9722795
96,C16C2.3a.1,ham-1,9720846.0,9720906.0,9720892,9722795
97,K10C3.4a.2,ham-1,9853654.0,9853726.0,9853692,9855776
98,K10C3.4a.1,ham-1,9853654.0,9853726.0,9853692,9855776
99,Y106G6A.1.1,ham-1,9938154.0,9938301.0,9938253,9938891
100,Y106G6A.1.1,ham-1,9938154.0,9938301.0,9938259,9938683
101,Y106G6D.5b.1,ham-1,10121887.0,10122104.0,10121925,10122355
102,Y106G6D.5b.1,ham-1,10121887.0,10122104.0,10121927,10122365
103,F59C6.6.1,ham-1,10517903.0,10518055.0,10517907,10518292
104,B0511.12a.1,ham-1,10666878.0,10666945.0,10666911,10667285
105,B0511.12b.1,ham-1,10666878.0,10666933.0,10666911,10667285
106,B0511.12a.1,ham-1,10666878.0,10666945.0,10666922,10667285
107,B0511.12b.1,ham-1,10666878.0,10666933.0,10666922,10667285
108,B0205.13.1,ham-1,10728723.0,10728808.0,10728736,10728950
109,Y37F4.1.3,ham-1,10858093.0,10858645.0,10858292,10858466
110,Y37F4.1.1,ham-1,10858087.0,10858645.0,10858292,10858466
111,Y37F4.1.3,ham-1,10858093.0,10858645.0,10858335,10858520
112,Y37F4.1.2,ham-1,10858092.0,10858645.0,10858292,10858466
113,Y37F4.1.3,ham-1,10858093.0,10858645.0,10858292,10858466
114,Y37F4.1.1,ham-1,10858087.0,10858645.0,10858335,10858520
115,Y37F4.1.3,ham-1,10858093.0,10858645.0,10858335,10858520
116,Y37F4.1.2,ham-1,10858092.0,10858645.0,10858335,10858520
117,Y37F4.1.1,ham-1,10858087.0,10858645.0,10858292,10858466
118,Y37F4.1.2,ham-1,10858092.0,10858645.0,10858292,10858466
119,Y37F4.1.1,ham-1,10858087.0,10858645.0,10858335,10858520
120,Y37F4.1.2,ham-1,10858092.0,10858645.0,10858335,10858520
121,H25P06.1.1,ham-1,11323093.0,11323110.0,11323098,11323515
122,Y53C10A.12.2,ham-1,11962936.0,11963085.0,11962978,11963292
123,Y53C10A.12.2,ham-1,11962936.0,11963085.0,11963027,11963284
124,M01G12.12.1,ham-1,12106064.0,12106112.0,12106088,12106603
125,E03H4.8.1,ham-1,12426734.0,12426850.0,12426747,12427070
126,C01A2.1a.1,ham-1,13411246.0,13411554.0,13411259,13411775
127,C01A2.1c.1,ham-1,13411246.0,13411472.0,13411259,13411775
128,C01A2.1c.2,ham-1,13411246.0,13411425.0,13411259,13411775
129,Y6B3B.5a.2,ham-1,13756207.0,13756243.0,13756213,13756816
130,Y6B3B.5a.1,ham-1,13756276.0,13756354.0,13756293,13756772
131,W09G3.2.1,ham-1,13812113.0,13812268.0,13812250,13812638
132,Y63D3A.6b.1,ham-1,14113092.0,14113108.0,14113093,14113621
133,Y63D3A.6a.1,ham-1,14113092.0,14113108.0,14113093,14113621
134,F09C3.2.2,ham-1,14274710.0,14277653.0,14276600,14276766
135,F09C3.2.2,ham-1,14274710.0,14277653.0,14276600,14276766
136,Y105E8A.16.1,ham-1,14469018.0,14469103.0,14469055,14469566
137,Y105E8A.16.1,ham-1,14469018.0,14469103.0,14469061,14469616
138,F11C3.3.1,ham-1,14863451.0,14863482.0,14863456,14863739
