,five_prime_transcript,peak,five_prime_start,peak_start (used to compare),peak_end,nearest_three_prime_end,three_prime_transcript
0,B0348.4g.1,ham-1,20819.0,16630,16786,6935.0,B0348.6a.1
1,B0348.4i.1,ham-1,20819.0,16630,16786,6935.0,B0348.6a.1
2,B0348.4h.1,ham-1,20818.0,16630,16786,6935.0,B0348.6a.1
3,B0348.4g.1,ham-1,20819.0,8070,9235,6935.0,B0348.6a.1
4,B0348.4i.1,ham-1,20819.0,8070,9235,6935.0,B0348.6a.1
5,B0348.4h.1,ham-1,20818.0,8070,9235,6935.0,B0348.6a.1
6,B0348.4g.1,ham-1,20819.0,8022,9347,6935.0,B0348.6a.1
7,B0348.4c.1,ham-1,20819.0,16630,16786,6935.0,B0348.6a.1
8,B0348.4h.1,ham-1,20818.0,8022,9347,6935.0,B0348.6a.1
9,B0348.4q.1,ham-1,20819.0,16630,16786,6935.0,B0348.6a.1
10,B0348.4j.1,ham-1,20819.0,16630,16786,6935.0,B0348.6a.1
11,B0348.4i.1,ham-1,20819.0,8022,9347,6935.0,B0348.6a.1
12,B0348.4c.1,ham-1,20819.0,8070,9235,6935.0,B0348.6a.1
13,B0348.4j.1,ham-1,20819.0,8070,9235,6935.0,B0348.6a.1
14,B0348.4c.1,ham-1,20819.0,8022,9347,6935.0,B0348.6a.1
15,B0348.4b.1,ham-1,20825.0,16630,16786,6935.0,B0348.6a.1
16,B0348.4a.1,ham-1,20825.0,16630,16786,6935.0,B0348.6a.1
17,B0348.4q.1,ham-1,20819.0,8070,9235,6935.0,B0348.6a.1
18,B0348.4b.1,ham-1,20825.0,8070,9235,6935.0,B0348.6a.1
19,B0348.4j.1,ham-1,20819.0,8022,9347,6935.0,B0348.6a.1
20,B0348.4q.1,ham-1,20819.0,8022,9347,6935.0,B0348.6a.1
21,B0348.4f.1,ham-1,20825.0,16630,16786,6935.0,B0348.6a.1
22,B0348.4f.1,ham-1,20825.0,8070,9235,6935.0,B0348.6a.1
23,B0348.4a.1,ham-1,20825.0,8070,9235,6935.0,B0348.6a.1
24,B0348.4v.1,ham-1,20825.0,16630,16786,6935.0,B0348.6a.1
