,five_prime_transcript,peak,five_prime_start,peak_start (used to compare),peak_end,nearest_three_prime_end,three_prime_transcript
0,B0545.1b.3,ham-1,103926.0,102899,103194,86889.0,B0545.3.1
1,B0545.1b.3,ham-1,103926.0,102887,103194,86889.0,B0545.3.1
2,B0545.1b.1,ham-1,103933.0,102899,103194,86889.0,B0545.3.1
3,B0545.1b.1,ham-1,103933.0,102887,103194,86889.0,B0545.3.1
4,F29C4.2.1,ham-1,126731.0,126097,126574,122545.0,F29C4.7b.1
5,B0545.1b.2,ham-1,103933.0,102899,103194,86889.0,B0545.3.1
6,F29C4.1a.1,ham-1,132416.0,131986,132576,127640.0,F29C4.2.1
7,B0545.1b.2,ham-1,103933.0,102887,103194,86889.0,B0545.3.1
8,F29C4.2.1,ham-1,126731.0,126069,126582,122545.0,F29C4.7b.1
9,F29C4.2.1,ham-1,126731.0,125980,126613,122545.0,F29C4.7b.1
10,Y38C1AA.3b.2,ham-1,186254.0,185970,186429,183254.0,Y38C1AA.4a.1
11,Y38C1AA.1d.1,ham-1,210895.0,210614,210986,208085.0,Y38C1AA.14a.1
12,Y38C1AA.1d.1,ham-1,210895.0,210579,211072,208085.0,Y38C1AA.14a.1
13,Y38C1AA.1d.1,ham-1,210895.0,210534,211003,208085.0,Y38C1AA.14a.1
14,R02D3.2.1,ham-1,240451.0,240307,240682,237961.0,R02D3.5.1
15,Y38C1AA.1b.1,ham-1,210887.0,210614,210986,208085.0,Y38C1AA.14a.1
16,T21D12.9c.1,ham-1,274589.0,274280,274620,272314.0,T21D12.5.1
17,Y38C1AA.1b.1,ham-1,210887.0,210579,211072,208085.0,Y38C1AA.14a.1
18,T21D12.9c.1,ham-1,274589.0,274186,274755,272314.0,T21D12.5.1
19,K02D7.5.1,ham-1,307505.0,304696,304697,292645.0,K02D7.1a.1
20,T07A9.11.3,ham-1,385887.0,385071,385825,380017.0,Y66H1B.4.1
21,T07A9.11.2,ham-1,385894.0,385071,385825,380017.0,Y66H1B.4.1
22,T21D12.9a.1,ham-1,274602.0,274280,274620,272314.0,T21D12.5.1
23,T07A9.11.2,ham-1,385894.0,385018,385856,380017.0,Y66H1B.4.1
24,T07A9.11.3,ham-1,385887.0,385018,385856,380017.0,Y66H1B.4.1
25,T21D12.9a.1,ham-1,274602.0,274186,274755,272314.0,T21D12.5.1
26,T07A9.11.2,ham-1,385894.0,385010,385856,380017.0,Y66H1B.4.1
27,Y38C1AA.1b.1,ham-1,210887.0,210534,211003,208085.0,Y38C1AA.14a.1
28,T07A9.11.3,ham-1,385887.0,385010,385856,380017.0,Y66H1B.4.1
29,T07A9.10.1,ham-1,390560.0,390304,390686,388758.0,T07A9.2.1
30,T07A9.9.1,ham-1,393880.0,393380,394219,393233.0,T07A9.15.1
31,T07A9.11.1,ham-1,385894.0,385071,385825,380017.0,Y66H1B.4.1
32,T21D12.12.1,ham-1,266448.0,264330,264777,262008.0,T21D12.4.1
33,T07A9.9.1,ham-1,393880.0,393374,394034,393233.0,T07A9.15.1
34,T07A9.10.1,ham-1,390560.0,390302,390671,388758.0,T07A9.2.1
35,T07A9.9.1,ham-1,393880.0,393334,394183,393233.0,T07A9.15.1
36,T07A9.9.3,ham-1,394011.0,393380,394219,393233.0,T07A9.15.1
37,T21D12.12.1,ham-1,266448.0,264168,264762,262008.0,T21D12.4.1
38,T07A9.9.2,ham-1,394017.0,393380,394219,393233.0,T07A9.15.1
39,T07A9.11.1,ham-1,385894.0,385018,385856,380017.0,Y66H1B.4.1
40,T21D12.12.1,ham-1,266448.0,264159,264772,262008.0,T21D12.4.1
41,K02D7.5.1,ham-1,307505.0,304671,304743,292645.0,K02D7.1a.1
42,F18F11.5.1,ham-1,325059.0,322533,322841,321570.0,K02D7.6.1
43,T21D12.9a.2,ham-1,274420.0,274280,274620,272314.0,T21D12.5.1
44,T07A9.9.3,ham-1,394011.0,393374,394034,393233.0,T07A9.15.1
45,T07A9.11.1,ham-1,385894.0,385010,385856,380017.0,Y66H1B.4.1
46,F18F11.5.1,ham-1,325059.0,322496,322880,321570.0,K02D7.6.1
47,T07A9.12.1,ham-1,410867.0,410284,410887,405947.0,T07A9.3.2
48,T07A9.9.1,ham-1,394017.0,393380,394219,393233.0,T07A9.15.1
49,T07A9.9.3,ham-1,394011.0,393334,394183,393233.0,T07A9.15.1
50,T21D12.9a.2,ham-1,274420.0,274186,274755,272314.0,T21D12.5.1
51,T07A9.9.2,ham-1,394017.0,393374,394034,393233.0,T07A9.15.1
52,T07A9.10.1,ham-1,390560.0,390281,390686,388758.0,T07A9.2.1
53,T07A9.12.2,ham-1,413091.0,410284,410887,405947.0,T07A9.3.2
54,T07A9.12.1,ham-1,410867.0,410220,411108,405947.0,T07A9.3.2
55,K02D7.5.1,ham-1,307505.0,303366,303610,292645.0,K02D7.1a.1
56,T07A9.12.3,ham-1,413736.0,410284,410887,405947.0,T07A9.3.2
57,T07A9.9.2,ham-1,394017.0,393334,394183,393233.0,T07A9.15.1
58,T07A9.12.1,ham-1,410867.0,410193,411070,405947.0,T07A9.3.2
