,five_prime_transcript,peak,five_prime_start,five_prime_end,peak_start,peak_end
0,M02H5.3.1,ham-1,464828.0,464863.0,464831,465763
1,H24O09.2.1,ham-1,723828.0,723952.0,723951,724443
2,T10B5.3a.2,ham-1,1868562.0,1869782.0,1868637,1868966
3,T10B5.3a.2,ham-1,1868562.0,1869782.0,1868637,1868966
4,F41B5.9.1,ham-1,2259799.0,2259810.0,2259809,2260143
5,F41B5.9.2,ham-1,2259799.0,2259859.0,2259809,2260143
6,T22F3.10.1,ham-1,3610676.0,3611754.0,3610736,3611032
7,T22F3.10.1,ham-1,3610676.0,3611754.0,3610736,3611032
8,F47C10.8.1,ham-1,3860204.0,3860243.0,3860222,3860372
9,B0213.11a.1,ham-1,3961190.0,3961335.0,3961293,3961389
10,Y45G5AM.9b.1,ham-1,4194571.0,4194637.0,4194627,4195204
11,T28F12.2d.10,ham-1,4507204.0,4509912.0,4507284,4508495
12,T28F12.2d.10,ham-1,4507204.0,4509912.0,4507327,4508495
13,T28F12.2d.10,ham-1,4507204.0,4509912.0,4507609,4508463
14,T28F12.2d.10,ham-1,4507204.0,4509912.0,4507284,4508495
15,T28F12.2d.10,ham-1,4507204.0,4509912.0,4507327,4508495
16,T28F12.2d.10,ham-1,4507204.0,4509912.0,4507609,4508463
17,C37H5.6a.1,ham-1,4823241.0,4823423.0,4823344,4827356
18,K11D12.11.1,ham-1,5038506.0,5038658.0,5038518,5038799
19,C24G6.2a.2,ham-1,5522139.0,5523753.0,5522903,5522904
20,C24G6.2a.2,ham-1,5522139.0,5523753.0,5523193,5523609
21,C24G6.2a.2,ham-1,5522139.0,5523753.0,5523195,5523646
22,C24G6.2a.2,ham-1,5522139.0,5523753.0,5522903,5522904
23,C24G6.2a.2,ham-1,5522139.0,5523753.0,5523193,5523609
24,C24G6.2a.2,ham-1,5522139.0,5523753.0,5523195,5523646
25,M03E7.5.3,ham-1,5619244.0,5619458.0,5619328,5619627
26,M03E7.5.3,ham-1,5619244.0,5619458.0,5619328,5619638
27,F44E7.8b.1,ham-1,5790067.0,5790553.0,5790320,5791279
28,F44E7.8b.1,ham-1,5790067.0,5790553.0,5790413,5791334
29,F44E7.8b.1,ham-1,5790067.0,5790553.0,5790523,5791310
30,F26F12.3c.1,ham-1,5842378.0,5843654.0,5842702,5846368
31,F26F12.3c.1,ham-1,5842378.0,5843654.0,5843266,5847056
32,F26F12.3c.1,ham-1,5842378.0,5843654.0,5843391,5845628
33,F17A9.4.1,ham-1,6110563.0,6110629.0,6110569,6110978
34,F17A9.4.1,ham-1,6110563.0,6110629.0,6110583,6110953
35,T25F10.6a.1,ham-1,6768453.0,6768732.0,6768551,6768868
36,VC5.5.1,ham-1,7093731.0,7093770.0,7093737,7094186
37,VC5.5.1,ham-1,7093731.0,7093770.0,7093749,7094165
38,VC5.5.1,ham-1,7093731.0,7093770.0,7093759,7094144
39,F19F10.11b.1,ham-1,7587599.0,7587704.0,7587684,7587987
40,F19F10.11a.1,ham-1,7587599.0,7587698.0,7587684,7587987
41,C37C3.9.1,ham-1,7853797.0,7854700.0,7854562,7855108
42,F26D11.11d.1,ham-1,7977629.0,7977776.0,7977724,7979255
43,F26D11.11a.1,ham-1,7977629.0,7977774.0,7977724,7979255
44,F26D11.11d.1,ham-1,7977629.0,7977776.0,7977725,7979239
45,F26D11.11a.1,ham-1,7977629.0,7977774.0,7977725,7979239
46,F21C10.3.1,ham-1,9128340.0,9128930.0,9128558,9129009
47,F21C10.3.1,ham-1,9128340.0,9128930.0,9128563,9128940
48,F21C10.3.1,ham-1,9128340.0,9128930.0,9128593,9128992
49,K07B1.5b.1,ham-1,9333028.0,9333062.0,9333031,9333764
50,K07B1.5a.2,ham-1,9333028.0,9333062.0,9333031,9333764
51,K07B1.5a.1,ham-1,9333028.0,9333062.0,9333031,9333764
52,K07B1.5b.2,ham-1,9333028.0,9333062.0,9333031,9333764
53,F25B3.3a.1,ham-1,9561609.0,9561671.0,9561630,9562446
54,F25B3.3b.1,ham-1,9561609.0,9561674.0,9561630,9562446
55,F25B3.3a.1,ham-1,9561609.0,9561671.0,9561641,9562427
56,F25B3.3b.1,ham-1,9561609.0,9561674.0,9561641,9562427
57,F46B6.7.1,ham-1,9789644.0,9789707.0,9789669,9790445
58,F46B6.7.2,ham-1,9789644.0,9789701.0,9789669,9790445
59,R07B5.9a.2,ham-1,9856276.0,9856416.0,9856316,9856961
60,R07B5.9k.1,ham-1,9856276.0,9856345.0,9856316,9856961
61,R07B5.9j.1,ham-1,9856276.0,9856397.0,9856316,9856961
62,R07B5.9b.1,ham-1,9856276.0,9856416.0,9856316,9856961
63,K08H10.7.1,ham-1,9991615.0,9991642.0,9991620,9992004
64,ZK856.11.1,ham-1,10204836.0,10204938.0,10204917,10205307
65,ZK856.11.1,ham-1,10204836.0,10204938.0,10204917,10205327
66,C12D8.1b.1,ham-1,10238251.0,10238866.0,10238680,10238977
67,F25D1.1a.1,ham-1,10535985.0,10536388.0,10535994,10537261
68,D1054.1.1,ham-1,10769925.0,10770217.0,10770014,10770418
69,D1054.1.1,ham-1,10769925.0,10770217.0,10770015,10770350
70,D1054.15a.1,ham-1,10807896.0,10807912.0,10807898,10808308
71,D1054.15a.2,ham-1,10807896.0,10807899.0,10807898,10808308
72,D1054.15a.1,ham-1,10807896.0,10807912.0,10807905,10808307
73,T04C12.4.2,ham-1,11074415.0,11074498.0,11074421,11075044
74,T04C12.4.3,ham-1,11074415.0,11074494.0,11074421,11075044
75,T04C12.4.2,ham-1,11074415.0,11074498.0,11074441,11074976
76,T04C12.4.3,ham-1,11074415.0,11074494.0,11074441,11074976
77,F47G9.4.1,ham-1,11321712.0,11321816.0,11321714,11321922
78,F47G9.4.1,ham-1,11321712.0,11321816.0,11321745,11321921
79,H12C20.2.2,ham-1,11570066.0,11570601.0,11570186,11570589
80,H12C20.2.2,ham-1,11570066.0,11570601.0,11570210,11570592
81,H12C20.2.2,ham-1,11570066.0,11570601.0,11570186,11570589
82,H12C20.2.2,ham-1,11570066.0,11570601.0,11570210,11570592
83,D2023.2a.2,ham-1,11822415.0,11822529.0,11822435,11822976
84,T28H10.2.1,ham-1,12512000.0,12512949.0,12512858,12513070
85,C14C10.3c.1,ham-1,12599080.0,12599157.0,12599096,12599876
86,C14C10.3b.1,ham-1,12599080.0,12599153.0,12599096,12599876
87,C14C10.3a.1,ham-1,12599080.0,12599151.0,12599096,12599876
88,C14C10.3c.1,ham-1,12599080.0,12599157.0,12599114,12599874
89,C14C10.3b.1,ham-1,12599080.0,12599153.0,12599114,12599874
90,C14C10.3a.1,ham-1,12599080.0,12599151.0,12599114,12599874
91,ZC443.4.1,ham-1,12819046.0,12819886.0,12819058,12819533
92,ZC443.4.1,ham-1,12819046.0,12819886.0,12819058,12819533
93,B0365.3.1,ham-1,13129988.0,13129995.0,13129989,13131400
94,B0365.3.2,ham-1,13129988.0,13129995.0,13129989,13131400
95,B0365.3.1,ham-1,13129988.0,13129995.0,13129989,13131415
96,B0365.3.2,ham-1,13129988.0,13129995.0,13129989,13131415
97,C34D1.4b.1,ham-1,13259021.0,13259138.0,13259050,13259893
98,C34D1.4b.1,ham-1,13259021.0,13259138.0,13259060,13259893
99,M04G12.1b.1,ham-1,13380066.0,13380262.0,13380092,13380614
100,M04G12.1b.1,ham-1,13380066.0,13380262.0,13380094,13380595
101,M04G12.1b.1,ham-1,13380066.0,13380262.0,13380178,13380565
102,F58E10.3a.1,ham-1,14011817.0,14012052.0,14011937,14013011
103,F58E10.3a.2,ham-1,14011817.0,14011941.0,14011937,14013011
104,F58E10.3a.1,ham-1,14011817.0,14012052.0,14011965,14012988
105,F58E10.3a.1,ham-1,14011817.0,14012052.0,14012035,14012662
106,C54G10.2a.2,ham-1,14645746.0,14645807.0,14645796,14646577
107,C54G10.2a.1,ham-1,14645746.0,14645801.0,14645796,14646577
108,C54G10.2a.2,ham-1,14645746.0,14645807.0,14645803,14646533
109,W06A7.3e.1,ham-1,14830552.0,14830618.0,14830577,14832779
110,T01C3.7.2,ham-1,15002026.0,15002223.0,15002063,15002831
111,F14H8.6b.2,ham-1,15028740.0,15029028.0,15028986,15029274
112,T01C3.7.2,ham-1,15002026.0,15002223.0,15002067,15002768
113,F14H8.6b.2,ham-1,15028740.0,15029028.0,15029009,15029242
114,T01C3.7.2,ham-1,15002026.0,15002223.0,15002081,15002844
115,C06C6.5a.3,ham-1,15999624.0,16000601.0,16000226,16001207
116,C06C6.5a.3,ham-1,15999624.0,16000601.0,16000238,16000938
117,C06C6.5a.3,ham-1,15999624.0,16000601.0,16000392,16000816
118,W06H3.3.2,ham-1,16794878.0,16794959.0,16794920,16795450
119,Y80D3A.2e.1,ham-1,18894969.0,18894974.0,18894971,18895366
120,Y80D3A.2a.1,ham-1,18894969.0,18894974.0,18894971,18895366
121,Y39B6A.40d.2,ham-1,18980916.0,18981132.0,18980963,18981342
