,five_prime_transcript,peak,five_prime_start,peak_start (used to compare),peak_end,nearest_three_prime_end,three_prime_transcript
0,H10E21.1a.4,ham-1,16521.0,14790,15000,12188.0,H10E21.3b.1
1,H10E21.1a.4,ham-1,16180.0,14790,15000,12188.0,H10E21.3b.1
2,F54C4.1.1,ham-1,87559.0,87181,87545,86779.0,F54C4.4.1
3,H10E21.1a.2,ham-1,16041.0,14790,15000,12188.0,H10E21.3b.1
4,H10E21.1a.3,ham-1,15810.0,14790,15000,12188.0,H10E21.3b.1
5,H10E21.1a.1,ham-1,16521.0,14790,15000,12188.0,H10E21.3b.1
6,H10E21.1a.2,ham-1,15807.0,14790,15000,12188.0,H10E21.3b.1
7,H10E21.1a.2,ham-1,16798.0,14790,15000,12188.0,H10E21.3b.1
8,H10E21.1a.1,ham-1,15772.0,14790,15000,12188.0,H10E21.3b.1
9,H10E21.1a.1,ham-1,16798.0,14790,15000,12188.0,H10E21.3b.1
10,H10E21.1a.1,ham-1,16041.0,14790,15000,12188.0,H10E21.3b.1
11,Y50D7A.6.1,ham-1,221416.0,220413,220670,210063.0,F40G9.17.2
12,Y50D7A.6.4,ham-1,221416.0,220413,220670,210063.0,F40G9.17.2
13,Y50D7A.6.1,ham-1,221416.0,220401,220628,210063.0,F40G9.17.2
14,Y50D7A.6.3,ham-1,221416.0,220413,220670,210063.0,F40G9.17.2
15,Y50D7A.6.2,ham-1,221416.0,220413,220670,210063.0,F40G9.17.2
16,Y50D7A.6.4,ham-1,221416.0,220401,220628,210063.0,F40G9.17.2
17,Y50D7A.6.3,ham-1,221416.0,220401,220628,210063.0,F40G9.17.2
18,Y50D7A.6.2,ham-1,221416.0,220401,220628,210063.0,F40G9.17.2
19,K10F12.3a.1,ham-1,367326.0,354558,355388,344938.0,W07B3.2d.1
20,K10F12.3b.1,ham-1,365949.0,354558,355388,344938.0,W07B3.2d.1
21,K10F12.3a.1,ham-1,367326.0,354406,356256,344938.0,W07B3.2d.1
22,K10F12.3b.1,ham-1,365949.0,354406,356256,344938.0,W07B3.2d.1
23,K10F12.3a.1,ham-1,367326.0,354405,356257,344938.0,W07B3.2d.1
24,K10F12.3a.1,ham-1,367326.0,349388,350309,344938.0,W07B3.2d.1
25,K10F12.3a.1,ham-1,367326.0,348405,350378,344938.0,W07B3.2d.1
26,K10F12.3b.1,ham-1,365949.0,354405,356257,344938.0,W07B3.2d.1
27,K10F12.3a.1,ham-1,367326.0,348396,350365,344938.0,W07B3.2d.1
28,F10C5.3.1,ham-1,483868.0,482867,483094,482325.0,F10C5.1.1
29,K10F12.3b.1,ham-1,365949.0,349388,350309,344938.0,W07B3.2d.1
30,F10C5.3.2,ham-1,484597.0,482867,483094,482325.0,F10C5.1.1
31,Y55B1BR.2.1,ham-1,434891.0,434294,434830,431749.0,Y55B1BR.3.1
32,T22F7.1.1,ham-1,542066.0,535177,535526,525383.0,T22F7.4.1
33,F10C5.3.1,ham-1,483868.0,482859,483058,482325.0,F10C5.1.1
34,K10F12.3b.1,ham-1,365949.0,348405,350378,344938.0,W07B3.2d.1
35,F30H5.1.1,ham-1,491547.0,491126,491491,489509.0,F30H5.5.1
36,Y55B1BR.2.1,ham-1,434891.0,434263,434816,431749.0,Y55B1BR.3.1
37,B0353.1a.1,ham-1,560096.0,558833,559279,546537.0,T22F7.1.1
38,F30H5.1.1,ham-1,491547.0,491119,491424,489509.0,F30H5.5.1
39,K10F12.3b.1,ham-1,365949.0,348396,350365,344938.0,W07B3.2d.1
40,F10C5.3.1,ham-1,484599.0,482867,483094,482325.0,F10C5.1.1
41,F30H5.1.1,ham-1,491547.0,491114,491491,489509.0,F30H5.5.1
42,Y55B1BR.2.1,ham-1,434891.0,432834,433400,431749.0,Y55B1BR.3.1
43,B0353.1c.2,ham-1,565554.0,564840,565155,546537.0,T22F7.1.1
44,B0353.1e.1,ham-1,567570.0,564840,565155,546537.0,T22F7.1.1
45,T22F7.1.1,ham-1,542066.0,535174,535670,525383.0,T22F7.4.1
46,F10C5.3.2,ham-1,484597.0,482859,483058,482325.0,F10C5.1.1
47,B0353.1d.1,ham-1,571397.0,569596,569814,546537.0,T22F7.1.1
48,B0353.1c.2,ham-1,565554.0,564825,565259,546537.0,T22F7.1.1
49,F10C5.3.1,ham-1,484599.0,482859,483058,482325.0,F10C5.1.1
50,B0353.1e.1,ham-1,567570.0,564825,565259,546537.0,T22F7.1.1
51,B0353.1e.1,ham-1,571398.0,569596,569814,546537.0,T22F7.1.1
52,B0353.1d.1,ham-1,571397.0,564840,565155,546537.0,T22F7.1.1
53,B0353.1e.1,ham-1,571997.0,569596,569814,546537.0,T22F7.1.1
54,T22F7.1.1,ham-1,542066.0,535121,535696,525383.0,T22F7.4.1
55,B0353.1c.2,ham-1,565554.0,564775,565259,546537.0,T22F7.1.1
56,B0353.1c.1,ham-1,565560.0,564840,565155,546537.0,T22F7.1.1
57,B0353.1e.1,ham-1,571997.0,564840,565155,546537.0,T22F7.1.1
58,B0353.1d.1,ham-1,571397.0,564825,565259,546537.0,T22F7.1.1
59,B0353.1c.2,ham-1,565554.0,558833,559279,546537.0,T22F7.1.1
60,B0353.1e.2,ham-1,573972.0,569596,569814,546537.0,T22F7.1.1
61,B0353.1e.1,ham-1,571398.0,564840,565155,546537.0,T22F7.1.1
62,B0353.1e.1,ham-1,571997.0,564825,565259,546537.0,T22F7.1.1
63,B0353.1e.1,ham-1,567570.0,564775,565259,546537.0,T22F7.1.1
64,B0353.1d.1,ham-1,571397.0,564775,565259,546537.0,T22F7.1.1
65,B0353.1c.1,ham-1,565560.0,564825,565259,546537.0,T22F7.1.1
66,B0353.1e.1,ham-1,572447.0,569596,569814,546537.0,T22F7.1.1
67,B0353.1d.1,ham-1,571397.0,558833,559279,546537.0,T22F7.1.1
68,B0353.1e.1,ham-1,571398.0,564825,565259,546537.0,T22F7.1.1
69,B0353.1e.1,ham-1,573974.0,569596,569814,546537.0,T22F7.1.1
70,Y55B1BR.2.1,ham-1,434891.0,432802,433408,431749.0,Y55B1BR.3.1
71,B0353.1e.1,ham-1,571997.0,564775,565259,546537.0,T22F7.1.1
72,B0353.1e.2,ham-1,573972.0,564840,565155,546537.0,T22F7.1.1
73,B0353.1e.1,ham-1,572447.0,564840,565155,546537.0,T22F7.1.1
74,B0353.1e.1,ham-1,567570.0,558833,559279,546537.0,T22F7.1.1
75,B0353.1e.1,ham-1,571398.0,564775,565259,546537.0,T22F7.1.1
76,W06E11.2.1,ham-1,640790.0,640379,640809,639156.0,W06E11.5a.1
77,B0353.1c.1,ham-1,565560.0,564775,565259,546537.0,T22F7.1.1
78,B0353.1e.1,ham-1,573974.0,564840,565155,546537.0,T22F7.1.1
79,B0353.1e.1,ham-1,571398.0,558833,559279,546537.0,T22F7.1.1
80,B0353.1e.1,ham-1,571997.0,558833,559279,546537.0,T22F7.1.1
81,B0353.1e.2,ham-1,573972.0,564825,565259,546537.0,T22F7.1.1
82,W06E11.2.1,ham-1,640790.0,640303,640834,639156.0,W06E11.5a.1
83,B0353.1e.1,ham-1,573974.0,564825,565259,546537.0,T22F7.1.1
84,B0353.1e.1,ham-1,572447.0,564825,565259,546537.0,T22F7.1.1
85,B0353.1c.1,ham-1,565560.0,558833,559279,546537.0,T22F7.1.1
86,W02B3.2.1,ham-1,676122.0,675476,675807,662803.0,C09F5.3.1
87,C09F5.1b.1,ham-1,660142.0,656662,657045,654408.0,C09F5.2b.1
88,B0353.1e.1,ham-1,573974.0,564775,565259,546537.0,T22F7.1.1
89,B0353.1e.1,ham-1,572447.0,564775,565259,546537.0,T22F7.1.1
90,W06E11.2.1,ham-1,640790.0,640261,640824,639156.0,W06E11.5a.1
91,C09F5.1a.1,ham-1,658709.0,656662,657045,654408.0,C09F5.2b.1
92,B0353.1e.2,ham-1,573972.0,564775,565259,546537.0,T22F7.1.1
93,B0353.1e.1,ham-1,573974.0,558833,559279,546537.0,T22F7.1.1
94,B0353.1e.1,ham-1,572447.0,558833,559279,546537.0,T22F7.1.1
95,W02B3.2.1,ham-1,676122.0,675471,675803,662803.0,C09F5.3.1
96,B0353.1e.2,ham-1,573972.0,558833,559279,546537.0,T22F7.1.1
97,W02B3.2.1,ham-1,676122.0,670933,671420,662803.0,C09F5.3.1
98,F42G9.1b.1,ham-1,783703.0,783246,783653,778681.0,F42G9.6a.1
99,F42G9.1a.1,ham-1,783714.0,783246,783653,778681.0,F42G9.6a.1
100,B0412.4.1,ham-1,794300.0,793567,793951,786697.0,F42G9.7.1
101,K02F3.4.3,ham-1,832982.0,832884,834438,828659.0,K02F3.6.1
102,K02F3.4.1,ham-1,834088.0,832884,834438,828659.0,K02F3.6.1
103,K02F3.4.3,ham-1,834088.0,832884,834438,828659.0,K02F3.6.1
104,K02F3.4.1,ham-1,834305.0,832884,834438,828659.0,K02F3.6.1
105,K02F3.4.1,ham-1,834088.0,832813,834507,828659.0,K02F3.6.1
106,B0412.4.1,ham-1,794300.0,793505,793999,786697.0,F42G9.7.1
107,K02F3.4.2,ham-1,834305.0,832884,834438,828659.0,K02F3.6.1
108,F42G9.1a.1,ham-1,783714.0,783226,783656,778681.0,F42G9.6a.1
109,K02F3.4.3,ham-1,834305.0,832884,834438,828659.0,K02F3.6.1
110,K02F3.4.3,ham-1,834088.0,832813,834507,828659.0,K02F3.6.1
111,F42G9.1b.1,ham-1,783703.0,783226,783656,778681.0,F42G9.6a.1
112,K02F3.4.1,ham-1,834305.0,832813,834507,828659.0,K02F3.6.1
113,B0412.4.1,ham-1,794300.0,793483,794001,786697.0,F42G9.7.1
114,K02F3.4.3,ham-1,832982.0,832813,834507,828659.0,K02F3.6.1
115,F42G9.1a.1,ham-1,783714.0,783202,783662,778681.0,F42G9.6a.1
116,W02B3.2.1,ham-1,676122.0,670931,671450,662803.0,C09F5.3.1
117,K02F3.4.2,ham-1,834305.0,832813,834507,828659.0,K02F3.6.1
118,F42G9.1b.1,ham-1,783703.0,783202,783662,778681.0,F42G9.6a.1
119,K02F3.4.3,ham-1,834305.0,832813,834507,828659.0,K02F3.6.1
120,K02F3.4.3,ham-1,834088.0,832791,834514,828659.0,K02F3.6.1
121,K02F3.4.1,ham-1,834305.0,832791,834514,828659.0,K02F3.6.1
122,K02F3.4.3,ham-1,832982.0,832791,834514,828659.0,K02F3.6.1
123,K02F3.4.2,ham-1,834305.0,832791,834514,828659.0,K02F3.6.1
124,K02F3.4.1,ham-1,834088.0,832791,834514,828659.0,K02F3.6.1
125,W02B3.2.1,ham-1,676122.0,668274,668785,662803.0,C09F5.3.1
126,K02F3.2a.1,ham-1,845841.0,845558,845866,843802.0,K02F3.3.1
127,K02F3.4.3,ham-1,834305.0,832791,834514,828659.0,K02F3.6.1
128,F23H11.2.1,ham-1,895747.0,895558,895856,891379.0,T24C4.7.1
129,T12B5.4.1,ham-1,950869.0,950414,950808,949362.0,T12B5.11.1
130,K02F3.2a.1,ham-1,845841.0,845541,845929,843802.0,K02F3.3.1
131,W02B3.2.1,ham-1,676122.0,668251,668785,662803.0,C09F5.3.1
132,F23H11.2.1,ham-1,895747.0,895540,895856,891379.0,T24C4.7.1
133,K02F3.2a.1,ham-1,845841.0,845532,845933,843802.0,K02F3.3.1
134,W02B3.2.1,ham-1,676122.0,668195,668698,662803.0,C09F5.3.1
135,BE0003N10.1.1,ham-1,1037492.0,1037177,1037500,1031715.0,BE0003N10.2.1
136,Y119D3B.12a.4,ham-1,1202546.0,1202173,1202513,1197445.0,Y119D3B.16.1
137,K02F3.2a.1,ham-1,845841.0,844036,844935,843802.0,K02F3.3.1
138,Y92C3B.1.1,ham-1,1080901.0,1080546,1080962,1079681.0,Y92C3B.3b.1
139,Y119D3B.12a.3,ham-1,1202546.0,1202173,1202513,1197445.0,Y119D3B.16.1
140,Y119D3B.12a.4,ham-1,1202546.0,1202103,1202571,1197445.0,Y119D3B.16.1
141,BE0003N10.1.1,ham-1,1037492.0,1037118,1037568,1031715.0,BE0003N10.2.1
142,K02F3.2a.1,ham-1,845841.0,844001,844893,843802.0,K02F3.3.1
143,Y119D3B.12a.5,ham-1,1202546.0,1202173,1202513,1197445.0,Y119D3B.16.1
